run,anchor,community,size,representatives,sample,boundary_words
pca100-t0.737-r0.05-run01,妈妈,25,146,姑姑 舅舅 妹妹 姐姐 哥哥 母亲 嫂子 奶奶 爸爸 妈妈 父亲 弟弟,爱人 太太 年迈 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐,子女 老朋友 他 小姐 亲朋好友 亲友 朋友 好友
pca100-t0.737-r0.05-run01,为什么,38,275,也许 就算 毕竟 当然 难道 可是 何况 但是 其实 反正 只不过 要是,譬如 说到底 如果 没关系 纵然 看来 倘若 怎么 按说 是不是 那时候 通常,迟早 幸亏 不仅仅 甚至 甚至于 怎么 要不是 幸好
pca100-t0.737-r0.05-run01,公斤,404,29,公斤 千克 斤 吨 磅 立方米 平方米 公顷 厘米 米 公里 毫米,倍 克 元 吨 块 寸 尺 磅 粒 米 立方 枚,左右 粒 元 美元 马力 百分点 块 枚
pca100-t0.737-r0.05-run01,花,247,19,赚 挣 赔钱 钱 亏 卖 攒 亏本 赔 买 掏钱 花,卖 亏 买 掏钱 攒 收 挣 欠 钱 花 赔 赚,倒闭 积蓄 收 亏损 养活 掏钱 买 私房钱
pca100-t0.737-r0.05-run01,行,880,1,行,行,行
pca100-t0.737-r0.1-run01,苹果,1309,1,苹果,苹果,苹果
pca100-t0.737-r0.1-run01,牛奶,79,178,米饭 豆腐 酸奶 橙汁 豆浆 薯片 果酱 香肠 果汁 薯条 饼干 水果,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 勺 巧克力 淀粉 吃 咸 喝,姜 酒 瓜子 葡萄酒 喝 茶 啤酒 开水
pca100-t0.737-r0.1-run01,咖啡,79,178,米饭 豆腐 酸奶 橙汁 豆浆 薯片 果酱 香肠 果汁 薯条 饼干 水果,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 勺 巧克力 淀粉 吃 咸 喝,姜 酒 瓜子 葡萄酒 喝 茶 啤酒 开水
pca100-t0.737-r0.1-run01,衬衫,107,78,衬衣 毛衣 衬衫 衣服 大衣 袜子 裙子 裤子 上衣 外套 围巾 短裤,眼镜 铅笔 背包 背心 枕头 拖鞋 穿 婚纱 内衣 戴 沐浴露 睡袋,绷带 铅笔 用品 背包 打扮 装扮 化妆 书包
pca100-t0.737-r0.1-run01,足球,281,45,乒乓球 体操 滑冰 田径 篮球 游泳 网球 羽毛球 排球 滑雪 举重 摔跤,俱乐部 登山 帆船 网球 球拍 野营 举重 武术 滑冰 潜水 游泳 健美,球拍 热气球 帆船 太极拳 赛车 俱乐部 野炊 爬山
pca100-t0.737-r0.1-run01,老师,28,121,姑姑 舅舅 姐姐 妹妹 奶奶 嫂子 爸爸 哥哥 母亲 爸 妈妈 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,师长 老王 子女 他 王后 小姐 朋友 孩子
pca100-t0.737-r0.1-run01,焦虑,134,104,沮丧 羞愧 气愤 诧异 难过 惊讶 茫然 伤心 惋惜 吃惊 惭愧 慌张,惊慌失措 疲倦 吃惊 半信半疑 慌乱 沮丧 慌张 迷惑不解 绝望 惊奇 垂头丧气 不安,自豪 怨恨 痛心 好奇 苦笑 忧愁 生气 寂寞
pca100-t0.737-r0.1-run01,政策,278,11,制度 机制 政策 体制 措施 举措 改革 体系 调控 职能 紧缩,机制 举措 制度 职能 体系 措施 体制 调控 改革 紧缩 政策,紧缩 职能 调控 措施 举措 政策 体系 改革
pca100-t0.737-r0.1-run01,合同,776,18,协议 签订 签署 协议书 合同 订立 协定 签约 达成 签 约定 契约,签订 协议书 签字 签 签署 签约 意向 契约 协议 约定 生效 谅解,谅解 合作 生效 达成 意向 协定 合约 契约
pca100-t0.737-r0.1-run01,银行,378,25,信贷 货币 理财 外汇 金融 银行 外币 资产 汇率 储蓄 资金 投资,保险 银行 投资 债 储蓄 资本 汇率 股票 货币 资产 股市 财务,经济 外币 财务 资本 股市 汇率 债 保险
pca100-t0.737-r0.1-run01,软件,563,25,电脑 硬盘 屏幕 显示器 鼠标 笔记本 打印机 键盘 磁盘 手机 按键 浏览器,机器 显示器 按键 键盘 摄像机 摄像 软件 无线 计算机 充电器 服务器 打印机,焦距 充电器 键 无线 手机 芯片 摄像 软件
pca100-t0.737-r0.1-run01,感冒,226,90,治疗 疾病 患者 病人 病症 急性 肿瘤 急诊 癌症 确诊 糖尿病 病,临床 看病 疗效 传染病 疗法 流感 免疫 挂号 肿瘤 糖尿病 病 癌,输液 处方 痴呆 药物 手术室 中药 麻醉 急救
pca100-t0.737-r0.1-run01,火车,297,73,公交车 公共汽车 电车 列车 车辆 货车 火车 路段 慢车 出租车 车道 行驶,机场 高速公路 加油站 客车 客运 出租车 通车 通行 隧道 缆车 山路 火车,加油站 汽车 电动车 缆车 车上 车厢 卡车 机动车
pca100-t0.737-r0.1-run01,妈妈,28,121,姑姑 舅舅 姐姐 妹妹 奶奶 嫂子 爸爸 哥哥 母亲 爸 妈妈 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,师长 老王 子女 他 王后 小姐 朋友 孩子
pca100-t0.737-r0.1-run01,为什么,40,186,也许 毕竟 就算 当然 何况 但是 只不过 可是 难道 其实 而且 反正,譬如 说到底 如果 纵然 看来 倘若 按说 是不是 那时候 正是 实在 偏偏,另外 幸亏 甚至 甚至于 不一定 要不是 必定 基本上
pca100-t0.737-r0.1-run01,公斤,517,25,公斤 千克 斤 吨 磅 平方米 立方米 公顷 厘米 米 公里 元,倍 克 元 吨 寸 尺 磅 米 斤 桶 百分点 平方米,立方米 平方 左右 马力 元 美元 百分点 尺
pca100-t0.737-r0.1-run01,花,307,14,挣 赚 掏 攒 买 钱 拿 卖 捞 弄 掏钱 凑,凑 卖 弄 买 掏钱 攒 拿 捞 挣 掏 钱 花,钱 养活 花 拿 弄 掏 捞 掏钱
pca100-t0.737-r0.1-run01,行,1311,1,行,行,行
pca100-t0.737-r0.2-run01,苹果,1954,1,苹果,苹果,苹果
pca100-t0.737-r0.2-run01,牛奶,82,136,米饭 豆腐 酸奶 水果 橙汁 果酱 香肠 薯片 薯条 红薯 饼干 豆浆,汤圆 烤鸭 烤肉 巧克力 淀粉 吃 奶 饼干 面粉 方便面 莲子 碗,碗 吃 茶 西餐 莲子 葡萄酒 煮 中餐
pca100-t0.737-r0.2-run01,咖啡,82,136,米饭 豆腐 酸奶 水果 橙汁 果酱 香肠 薯片 薯条 红薯 饼干 豆浆,汤圆 烤鸭 烤肉 巧克力 淀粉 吃 奶 饼干 面粉 方便面 莲子 碗,碗 吃 茶 西餐 莲子 葡萄酒 煮 中餐
pca100-t0.737-r0.2-run01,衬衫,110,64,衬衣 大衣 毛衣 衬衫 裤子 上衣 衣服 袜子 外套 裙子 围巾 短裤,眼镜 背包 背心 枕头 拖鞋 穿 婚纱 内衣 睡袋 纽扣 球鞋 毛衣,发型 首饰 牙刷 背包 水壶 绷带 项链 书包
pca100-t0.737-r0.2-run01,足球,319,34,体操 田径 乒乓球 篮球 排球 网球 羽毛球 举重 滑冰 摔跤 游泳 棒球,帆船 网球 举重 武术 滑冰 游泳 健美 羽毛球 乒乓球 跳高 龙舟 跳远,健身 帆船 太极拳 体育 龙舟 长跑 赛车 跳伞
pca100-t0.737-r0.2-run01,老师,28,100,姑姑 舅舅 奶奶 姐姐 妹妹 爸爸 嫂子 爸 哥哥 母亲 姥姥 爷爷,爱人 太太 胖子 哥哥 老太太 哥 她 妈 妹 姐 姨 娘,老王 老家 母女 夫妇 小时候 他 姐妹 同学
pca100-t0.737-r0.2-run01,焦虑,160,58,沮丧 羞愧 难过 伤心 气愤 悲伤 伤感 悔恨 惋惜 悲哀 痛苦 绝望,慌乱 沮丧 慌张 绝望 垂头丧气 不安 伤感 惋惜 激动 惊慌 伤心 心疼,高兴 难堪 焦躁 难为情 着急 生气 欣慰 失望
pca100-t0.737-r0.2-run01,政策,38,8,措施 举措 方案 方针 政策 步骤 做法 一揽子,步骤 举措 方针 措施 做法 方案 一揽子 政策,做法 一揽子 步骤 政策 方案 方针 措施 举措
pca100-t0.737-r0.2-run01,合同,987,12,签订 协议 签署 合同 协议书 订立 协定 签约 签 约定 契约 生效,签订 协议书 签 签署 签约 契约 协议 约定 生效 订立 协定 合同,约定 协定 协议书 生效 契约 协议 签 签约
pca100-t0.737-r0.2-run01,银行,638,10,信贷 金融 货币 经济 银行 信用 汇率 房地产 财务 股市,银行 汇率 房地产 货币 股市 财务 经济 信贷 信用 金融,汇率 财务 股市 银行 房地产 经济 信用 货币
pca100-t0.737-r0.2-run01,软件,1438,4,软件 机器 工具 芯片,机器 软件 芯片 工具,芯片 机器 工具 软件
pca100-t0.737-r0.2-run01,感冒,271,50,急性 疾病 病症 癌症 炎症 慢性 发病 糖尿病 症状 抑郁症 病 高血压,疗效 传染病 流感 免疫 肿瘤 糖尿病 病 癌 腹泻 患 肥胖 患有,药物 抗生素 抑郁 休克 疗效 确诊 肥胖 病人
pca100-t0.737-r0.2-run01,火车,340,38,公交车 火车 电车 公共汽车 货车 列车 出租车 车 客车 车辆 大巴 卡车,客车 客运 出租车 电动 缆车 火车 车辆 地铁 快车 汽车 司机 私家车,车型 乘客 车厢 轿车 司机 卧铺 车上 地铁
pca100-t0.737-r0.2-run01,妈妈,28,100,姑姑 舅舅 奶奶 姐姐 妹妹 爸爸 嫂子 爸 哥哥 母亲 姥姥 爷爷,爱人 太太 胖子 哥哥 老太太 哥 她 妈 妹 姐 姨 娘,老王 老家 母女 夫妇 小时候 他 姐妹 同学
pca100-t0.737-r0.2-run01,为什么,138,120,毕竟 就算 也许 难道 只不过 何况 可是 但是 反正 要是 其实 当然,说到底 如果 纵然 看来 倘若 按说 是不是 实在 偏偏 幸好 就 真的,幸亏 不仅仅 不一定 说到底 只是 要不是 好比 如果说
pca100-t0.737-r0.2-run01,公斤,413,21,公斤 千克 斤 吨 公顷 平方米 立方米 亩 磅 公里 米 厘米,倍 元 吨 亩 磅 米 斤 桶 百分点 平方米 公顷 马力,美元 立方米 厘米 米 平方 左右 马力 平方米
pca100-t0.737-r0.2-run01,花,473,6,花费 耗费 花 付出 投入 费,耗费 付出 花费 花 费 投入,付出 费 投入 花 耗费 花费
pca100-t0.737-r0.2-run01,行,1958,1,行,行,行
pca200-fullfit-t0.686-r0.05-run01,苹果,810,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.05-run01,牛奶,72,205,米饭 豆腐 豆浆 橙汁 果酱 酸奶 酱 汁 香肠 果汁 薯片 粥,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 冻 勺 巧克力 淀粉 吃,酒 搅拌 葡萄酒 啤酒 炒 酒水 碗 姜
pca200-fullfit-t0.686-r0.05-run01,咖啡,72,205,米饭 豆腐 豆浆 橙汁 果酱 酸奶 酱 汁 香肠 果汁 薯片 粥,烧烤 汤圆 纯净水 烤鸭 搅拌 烤肉 矿泉水 冻 勺 巧克力 淀粉 吃,酒 搅拌 葡萄酒 啤酒 炒 酒水 碗 姜
pca200-fullfit-t0.686-r0.05-run01,衬衫,99,80,衬衣 毛衣 大衣 衬衫 衣服 裙子 袜子 裤子 上衣 外套 围巾 短裤,眼镜 铅笔 背包 背心 枕头 拖鞋 穿 婚纱 纱 内衣 戴 沐浴露,打扮 梳子 铅笔 纱 珠宝 装扮 化妆 辫子
pca200-fullfit-t0.686-r0.05-run01,足球,168,71,田径 乒乓球 网球 羽毛球 举重 体操 排球 篮球 比赛 运动员 摔跤 决赛,俱乐部 运动 东道主 参赛 选手 决赛 网球 竞赛 球拍 球星 举重 武术,体育 球队 入场券 队员 健身 外援 俱乐部 太极拳
pca200-fullfit-t0.686-r0.05-run01,老师,26,145,姑姑 舅舅 姐姐 妹妹 嫂子 哥哥 爸爸 母亲 妈妈 奶奶 爸 闺女,爱人 太太 年迈 胖子 子女 哥哥 朋友们 老太太 哥 她 妈 妹,她们 男人 小姐 女人 人家 母子 姐妹 夫妇
pca200-fullfit-t0.686-r0.05-run01,焦虑,122,152,沮丧 羞愧 气愤 惊讶 诧异 惋惜 难过 吃惊 惭愧 茫然 伤心 惊诧,惊慌失措 怜惜 佩服 疲倦 吃惊 半信半疑 紧张 由衷 慌乱 犹豫不决 犹豫 得意,恨 疑虑 怨气 仇恨 遗憾 无精打采 怨恨 过意不去
pca200-fullfit-t0.686-r0.05-run01,政策,453,19,制定 制订 实施 颁布 出台 实行 推行 施行 试行 落实 起草 拟定,颁布 制订 实施 起草 编制 发布 试行 落实 制定 采取 拟定 出台,公布 政策 采取 发布 贯彻 编制 拟定 执行
pca200-fullfit-t0.686-r0.05-run01,合同,454,30,协议 协定 协议书 公约 条约 条款 签署 签订 合同 订立 规定 草案,签订 宣言 协议书 条约 决议 条款 签字 法律 签 签署 签约 条例,刑法 意向 议程 条例 签约 宪法 纲要 法规
pca200-fullfit-t0.686-r0.05-run01,银行,377,29,贷款 还款 存款 利息 债务 抵押 信贷 偿还 余额 担保 资金 理财,拖欠 公积金 银行 到期 宝 偿还 款项 储蓄 资本 抵押 资产 贷款,资本 财产 拖欠 宝 银行 金融 归还 资产
pca200-fullfit-t0.686-r0.05-run01,软件,113,18,浏览器 下载 网页 网站 网址 登录 主页 浏览 软件 搜索 杀毒 查询,查询 网址 数据库 登录 网站 软件 微信 网页 浏览 防火墙 浏览器 搜索,登录 导航 微信 防火墙 黑客 账号 网站 查询
pca200-fullfit-t0.686-r0.05-run01,感冒,94,123,炎症 急性 腹泻 病症 疼痛 发炎 症状 出血 慢性 咳嗽 疾病 肝脏,新陈代谢 损伤 疗效 传染病 骨折 激素 咳 咽 心 流感 气管 免疫,心 肌肤 脉搏 衰老 生理 胆 职业病 睡眠
pca200-fullfit-t0.686-r0.05-run01,火车,101,95,公交车 火车 列车 公共汽车 出租车 车辆 大巴 货车 电车 慢车 私家车 车,机场 开车 高速公路 客车 客运 乘车 出租车 乘 旅客 通车 停放 追尾,车型 轿车 座位 机票 跑车 上车 售票 退票
pca200-fullfit-t0.686-r0.05-run01,妈妈,26,145,姑姑 舅舅 姐姐 妹妹 嫂子 哥哥 爸爸 母亲 妈妈 奶奶 爸 闺女,爱人 太太 年迈 胖子 子女 哥哥 朋友们 老太太 哥 她 妈 妹,她们 男人 小姐 女人 人家 母子 姐妹 夫妇
pca200-fullfit-t0.686-r0.05-run01,为什么,146,30,怎么 怎样 究竟 什么 呢 哪里 谁 哪儿 干什么 到底 哪 怎么样,怎么 请问 到底 有没有 吗 呢 哪 哪儿 为什么 哪些 不知 干什么,能否 不论 吗 呢 有没有 干吗 多久 请问
pca200-fullfit-t0.686-r0.05-run01,公斤,309,27,公斤 千克 斤 吨 磅 立方米 平方米 公顷 米 公里 厘米 元,倍 克 元 匹 吨 寸 尺 磅 米 立方 斤 桶,匹 毫米 美元 倍 平方 人次 美金 毫升
pca200-fullfit-t0.686-r0.05-run01,花,274,24,挣钱 赚 挣 赚钱 赔钱 做生意 亏本 发财 钱 养活 打工 亏,谋生 赚钱 亏 做生意 门路 损 挣 炒股 钱 花 赔 赚,损 过日子 吃亏 经商 损失 花 赔 发财
pca200-fullfit-t0.686-r0.05-run01,行,813,1,行,行,行
pca200-fullfit-t0.686-r0.1-run01,苹果,1223,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.1-run01,牛奶,78,156,米饭 豆腐 酸奶 橙汁 豆浆 薯片 薯条 果酱 香肠 水果 果汁 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,酒 喝 茶 鲜 葡萄酒 啤酒 纯净水 姜
pca200-fullfit-t0.686-r0.1-run01,咖啡,78,156,米饭 豆腐 酸奶 橙汁 豆浆 薯片 薯条 果酱 香肠 水果 果汁 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 咸 喝 嚼,酒 喝 茶 鲜 葡萄酒 啤酒 纯净水 姜
pca200-fullfit-t0.686-r0.1-run01,衬衫,108,67,衬衣 衬衫 毛衣 大衣 裙子 上衣 外套 衣服 裤子 袜子 围巾 短裤,眼镜 背包 背心 拖鞋 穿 婚纱 内衣 戴 睡袋 纽扣 球鞋 毛衣,蚊帐 睡袋 装扮 打扮 被子 绷带 丝绸 书包
pca200-fullfit-t0.686-r0.1-run01,足球,278,43,乒乓球 体操 田径 篮球 网球 羽毛球 排球 举重 棒球 滑冰 游泳 台球,俱乐部 运动 帆船 网球 球拍 举重 武术 球员 滑冰 游泳 健美 羽毛球,球队 联赛 体育 健身 打球 教练 帆船 俱乐部
pca200-fullfit-t0.686-r0.1-run01,老师,27,115,姑姑 舅舅 妹妹 姐姐 奶奶 爸爸 嫂子 哥哥 母亲 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 亲友 朋友 小姐 家人 他 夫妇
pca200-fullfit-t0.686-r0.1-run01,焦虑,133,115,羞愧 沮丧 惊讶 气愤 诧异 惋惜 吃惊 惭愧 难过 惊诧 痛心 心疼,惊慌失措 怜惜 佩服 吃惊 由衷 慌乱 得意 沮丧 慌张 迷惑不解 绝望 惊叹,赞叹不已 反感 凄凉 过意不去 忧愁 丢脸 烦躁 怨恨
pca200-fullfit-t0.686-r0.1-run01,政策,503,21,制订 制定 实施 实行 推行 颁布 施行 出台 试行 起草 落实 拟定,颁布 制订 实施 开展 起草 编写 编制 试行 落实 制定 修订 采取,编写 修订 进行 编制 拟定 政策 贯彻 采取
pca200-fullfit-t0.686-r0.1-run01,合同,727,17,协议 签订 签署 协议书 合同 订立 协定 签约 达成 签 约定 契约,签订 协议书 签字 签 签署 签约 意向 契约 协议 约定 生效 谅解,合约 签字 意向 生效 达成 谅解 协定 契约
pca200-fullfit-t0.686-r0.1-run01,银行,372,18,外币 汇率 外汇 贬值 货币 存款 人民币 升值 储蓄 兑换 活期 银行,银行 储蓄 顺差 汇率 货币 升值 股市 利率 英镑 活期 理财 存款,股市 银行 英镑 理财 现金 顺差 利率 储蓄
pca200-fullfit-t0.686-r0.1-run01,软件,536,25,电脑 硬盘 显示器 屏幕 键盘 磁盘 笔记本 打印机 鼠标 服务器 内存 按键,显示器 按键 键盘 软件 计算机 充电器 电池 服务器 打印机 硬盘 浏览器 硬件,电池 手机 鼠标 按键 游戏机 键 芯片 黑客
pca200-fullfit-t0.686-r0.1-run01,感冒,172,63,急性 病症 炎症 症状 腹泻 疾病 慢性 抑郁症 癌症 发病 高血压 复发,传染病 骨折 流感 免疫 肿瘤 糖尿病 病 癌 腹泻 患 肥胖 患有,出汗 失眠 昏迷 失明 确诊 不适 职业病 头晕
pca200-fullfit-t0.686-r0.1-run01,火车,111,42,列车 火车 公交车 公共汽车 车站 电车 慢车 卧铺 乘客 地铁 车票 车厢,机场 高速公路 客运 乘车 乘 旅客 通车 隧道 缆车 晚点 火车 航班,车票 上车 隧道 车上 旅客 下车 停车场 通车
pca200-fullfit-t0.686-r0.1-run01,妈妈,27,115,姑姑 舅舅 妹妹 姐姐 奶奶 爸爸 嫂子 哥哥 母亲 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 亲友 朋友 小姐 家人 他 夫妇
pca200-fullfit-t0.686-r0.1-run01,为什么,164,31,怎么 怎样 究竟 什么 哪里 呢 谁 哪儿 哪 干什么 到底 怎么样,怎么 请问 到底 无论 有没有 吗 呢 哪 哪儿 为什么 哪些 不知,不论 哪些 多少 无论如何 什么样 多久 干吗 无论
pca200-fullfit-t0.686-r0.1-run01,公斤,348,23,公斤 千克 斤 吨 磅 公顷 平方米 亩 立方米 米 厘米 公里,倍 克 元 吨 寸 尺 亩 磅 米 斤 桶 平方米,立方米 平方 元 美元 倍 桶 克 美金
pca200-fullfit-t0.686-r0.1-run01,花,324,16,挣钱 赚钱 挣 赚 做生意 打工 发财 赔钱 谋生 养活 钱 亏本,谋生 赚钱 做生意 门路 挣 钱 花 赚 致富 打工 亏本 养活,钱 赔钱 花 养活 门路 发财 亏本 挣
pca200-fullfit-t0.686-r0.1-run01,行,1226,1,行,行,行
pca200-fullfit-t0.686-r0.1-run02,苹果,1250,1,苹果,苹果,苹果
pca200-fullfit-t0.686-r0.1-run02,牛奶,78,157,米饭 豆腐 酸奶 薯片 橙汁 豆浆 薯条 果酱 果汁 水果 香肠 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 喝 嚼 奶,酒 喝 茶 晚餐 吃 午餐 葡萄酒 啤酒
pca200-fullfit-t0.686-r0.1-run02,咖啡,78,157,米饭 豆腐 酸奶 薯片 橙汁 豆浆 薯条 果酱 果汁 水果 香肠 饼干,烧烤 汤圆 纯净水 烤鸭 烤肉 矿泉水 巧克力 淀粉 吃 喝 嚼 奶,酒 喝 茶 晚餐 吃 午餐 葡萄酒 啤酒
pca200-fullfit-t0.686-r0.1-run02,衬衫,109,68,衬衣 衬衫 毛衣 大衣 裙子 上衣 衣服 外套 裤子 袜子 围巾 短裤,眼镜 背包 背心 拖鞋 穿 婚纱 内衣 戴 睡袋 纽扣 球鞋 毛衣,蚊帐 睡袋 绷带 被子 打扮 装扮 牙刷 丝绸
pca200-fullfit-t0.686-r0.1-run02,足球,290,45,体操 乒乓球 篮球 田径 网球 羽毛球 排球 滑冰 游泳 举重 棒球 摔跤,俱乐部 运动 登山 帆船 网球 球拍 举重 武术 球员 滑冰 潜水 游泳,球队 球员 登山 健身 划船 打球 球拍 俱乐部
pca200-fullfit-t0.686-r0.1-run02,老师,27,110,姑姑 舅舅 姐姐 妹妹 奶奶 爸爸 哥哥 嫂子 母亲 妈妈 爸 姥姥,爱人 太太 胖子 子女 哥哥 老太太 哥 她 妈 妹 姐 姨,亲属 子女 母女 父子 亲友 朋友 宝宝 夫妇
pca200-fullfit-t0.686-r0.1-run02,焦虑,149,113,沮丧 羞愧 气愤 难过 伤心 惊讶 茫然 惋惜 诧异 惭愧 慌张 伤感,惊慌失措 怜惜 疲倦 吃惊 慌乱 犹豫 得意 沮丧 慌张 迷惑不解 绝望 惊奇,震惊 犹豫 惊慌失措 迟疑 耻辱 疲惫 着急 疲倦
pca200-fullfit-t0.686-r0.1-run02,政策,645,18,实施 制定 制订 实行 推行 出台 施行 颁布 落实 试行 开展 贯彻,颁布 制订 实施 开展 起草 搞好 试行 落实 推出 制定 采取 出台,搞好 试行 推出 起草 政策 贯彻 采取 开展
pca200-fullfit-t0.686-r0.1-run02,合同,590,29,协议 协定 协议书 签署 签订 条约 公约 宣言 订立 合同 条款 草案,签订 宣言 协议书 条约 决议 条款 签字 签 签署 签约 条例 意向,签字 报告 条例 社论 意向 议程 约定 签约
pca200-fullfit-t0.686-r0.1-run02,银行,474,20,贷款 还款 利息 债务 信贷 担保 抵押 违约 偿还 存款 逾期 余额,拖欠 银行 到期 偿还 款项 抵押 贷款 利率 还款 利息 债务 理财,理财 金融 拖欠 银行 余额 偿还 款项 到期
pca200-fullfit-t0.686-r0.1-run02,软件,127,13,浏览器 下载 网页 服务器 杀毒 软件 网址 浏览 登录 防火墙 搜索 黑客,网址 登录 软件 游戏 网页 浏览 服务器 防火墙 浏览器 搜索 杀毒 黑客,登录 游戏 防火墙 搜索 浏览 软件 网址 黑客
pca200-fullfit-t0.686-r0.1-run02,感冒,244,57,急性 病症 疾病 炎症 慢性 癌症 抑郁症 症状 发病 心脏病 病 复发,传染病 骨折 流感 免疫 肿瘤 糖尿病 病 癌 腹泻 患 肥胖 后遗症,昏迷 失眠 休克 残疾 骨折 创伤 失明 疼痛
pca200-fullfit-t0.686-r0.1-run02,火车,111,61,公交车 火车 公共汽车 出租车 电车 车 列车 货车 车辆 大巴 私家车 警车,开车 客车 客运 乘车 出租车 追尾 电动 打车 缆车 晚点 火车 车辆,高铁 车型 轿车 自行车 肇事 车票 上车 骑车
