token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
会见,0,230,0.3151544039711648,43,0.09987814977219289,0.127278103035151,0.9997442855421539,43,0.0001292402756627549,0.9996150452664911,0.0007248570722244641,6,huìjiàn,to meet with (sb who is paying a visit),Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
会面,0,230,0.2997674466696555,8,0.07758194559783116,0.0997435065876744,0.9998250431909415,43,0.00004552812834471713,0.9997795150625968,0.0005299914723734829,7-9,huìmiàn,to meet with; meeting,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
就任,0,230,0.2996738256384036,26,0.09083450105799962,0.11481169866010477,0.9997577490181633,25,0.00009036288494500919,0.9996673861332183,0.0006780720165283433,7-9,jiùrèn,to take office; to assume a post,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
开幕式,0,230,0.2981871035329445,32,0.055802750038728616,0.07365575182626927,0.9923898047262608,32,0.005443784797138864,0.9869460199291219,0.013012754402914883,5,kāimùshì,opening ceremony,Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
开幕,0,230,0.29674381774382574,3,0.07787506116940335,0.09969523281118496,0.9987094831573046,3,0.0005058255313254658,0.9982036576259791,0.0030778169384846144,5,kāimù,to open (a conference); to inaugurate,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.5
兼任,0,230,0.2962261561062002,38,0.08779894803492755,0.11091708675458485,0.9998704987460925,29,0.0000391133488024746,0.99983138539729,0.00037953299974344674,7-9,jiānrèn,to hold several jobs at once; concurrent post; working part-time,Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.75
演讲,0,230,0.29618851740518226,29,0.04052088156754341,0.05443923107272626,0.9914459416073784,32,0.005514451718574582,0.9859314898888039,0.014857410924795849,4,yǎnjiǎng,lecture; to make a speech,Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
会议,0,230,0.2952722220102431,26,0.05745023995713974,0.07537640630452092,0.9817566760690734,26,0.009964726793722236,0.9717919492753511,0.030314176977480987,3,huìyì,meeting; conference,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.5
颁奖,0,230,0.295148254029489,3,0.026836216557214132,0.03667713278281129,0.9556587911268146,3,0.042278190827117444,0.9133806002996971,0.04909809970741489,7-9,bānjiǎng,to confer an award,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.5
任命,0,230,0.2947057212766799,26,0.04501302541577415,0.059992785845824015,0.9965207308597753,26,0.003384834153758954,0.9931358967060163,0.006055966215943368,7-9,rènmìng,to appoint; (job) appointment,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
会谈,0,230,0.2944071332026601,26,0.08177082325080726,0.1038539423195994,0.9996842728584918,26,0.00016512492486746522,0.9995191479336244,0.0008257538902146293,5,huìtán,talks; discussions,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.5
招待会,0,230,0.2918577421541145,43,0.08034645924047865,0.10189931383847324,0.9961746899781677,32,0.0011774615160787478,0.9949972284620889,0.00839939434723493,7-9,zhāodàihuì,a reception,Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
举行,0,230,0.29076990987618434,38,0.06666091731580723,0.08591531114116512,0.9991109974812401,38,0.00034279477834240295,0.9987682027028977,0.002182804991443486,2,jǔxíng,"to hold (a meeting, ceremony etc)",Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.25
大会,0,230,0.2905829295514079,3,0.08258567290377619,0.10427447833603432,0.9896798449138713,3,0.0053776384913041455,0.9843022064225672,0.01925458721572357,4,dàhuì,general assembly; general meeting; convention,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.5
代表团,0,230,0.29037678265550865,25,0.06730066916718144,0.08662453341389216,0.9561476299456094,25,0.038593828836344754,0.9175538011092647,0.05209217132830298,3,dàibiǎotuán,delegation,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
闭幕式,0,230,0.28953161900742724,3,0.04060517548365067,0.0540628479508134,0.9872740904371509,32,0.006982060527534147,0.9802920299096167,0.02052045458570726,5,bìmùshì,closing ceremony,Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
召开,0,230,0.2879630740147884,26,0.06039605313816748,0.07818937664560863,0.9800981322220212,26,0.014999942842229415,0.9650981893797919,0.029853897751892882,4,zhàokāi,to convene (a conference or meeting); to convoke; to call together,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.5
聘任,0,230,0.2860096622421183,26,0.028548627990778064,0.038447312946054094,0.9926292871165983,26,0.004751702315038075,0.9878775848015602,0.01276834232550785,7-9,pìnrèn,to appoint (to a position); appointed,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
召集,0,230,0.2856777706244399,35,0.02775749558386653,0.03740500467841805,0.9729175756559367,35,0.012305284934023641,0.9606122907219131,0.03972406388612212,7-9,zhàojí,to convene; to gather,Translation,急忙 | 赶忙 | 赶紧 | 连忙 | 赶快 | 慌忙 | 设法 | 趁机 | 偷偷 | 竭力 | 急于 | 想方设法,0.5
任职,0,230,0.28467323621207313,29,0.04517098337008904,0.059396603788628266,0.9858936104183064,29,0.012981277259229429,0.972912333159077,0.020242761748348354,7-9,rènzhí,to hold a post; to take office,Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.75
闭幕,0,230,0.28433606281472773,3,0.07130961033991315,0.09061246158039526,0.9955727561414225,3,0.0027551093521809497,0.9928176467892416,0.008931154101579259,5,bìmù,the curtain falls; lower the curtain; to come to an end (of a meeting),Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.5
发言,0,230,0.28391073310395637,48,0.05012236831317887,0.06541582770338952,0.9911337357386061,48,0.005756622635984789,0.9853771131026213,0.01542209056478302,3,fāyán,to make a speech; statement; utterance,Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.5
研讨,0,230,0.2837824600490105,48,0.02784244629123883,0.037419625844756395,0.9428678527684435,48,0.05479865600581013,0.8880691967626334,0.05969281505550984,7-9,yántǎo,discussion,Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.25
特邀,0,230,0.2821657733812589,32,0.08583353600433546,0.10680226331859449,0.9950843934346575,25,0.0023445381997093803,0.9927398552349481,0.009787952608241167,7-9,tèyāo,special invitation,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
主持,0,230,0.2820014152394775,32,0.07707755474276651,0.0969436144705833,0.9969341639302747,32,0.0014622325935540633,0.9954719313367206,0.006730666939111303,3,zhǔchí,to take charge of; to manage or direct; to preside over; to uphold; to stand for (justice etc); to host (a TV or radio program etc); (TV) anchor,Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.75
宴会,0,230,0.28198041500667215,8,0.03846784148093085,0.05085060258068918,0.9915668579349188,8,0.005282604984278273,0.9862842529506406,0.014848226050985944,6,yànhuì,banquet; feast; dinner party,Translation,晚饭 | 午饭 | 晚上 | 下班 | 早饭 | 吃饭 | 夜晚 | 睡觉 | 夜里 | 中午 | 星期天 | 过年,0.25
拜访,0,230,0.28117953325556017,43,0.02055943762335838,0.027806324599716627,0.9915090279846408,4,0.004317276683816429,0.9871917513008244,0.01434192553149622,5,bàifǎng,to pay a visit; to call on,Translation,旁边 | 看见 | 前边 | 后边 | 老远 | 那儿 | 外边 | 回来 | 远处 | 路过 | 门口 | 走开,0.25
座谈会,0,230,0.2810476988179889,46,0.08759848007720628,0.10860875981106141,0.9955627073784705,46,0.0013760604148308512,0.9941866469636397,0.009800847321352089,6,zuòtánhuì,conference; symposium; rap session,Translation,文字 | 书 | 抄写 | 书籍 | 稿子 | 字典 | 画册 | 写 | 本子 | 便条 | 字体 | 论文,0.5
出访,0,230,0.2792604717512255,8,0.060455074822919674,0.07738798320573063,0.9973859875859001,29,0.0008802130773438781,0.9965057745085563,0.0058451103176469016,6,chūfǎng,to go and visit in an official capacity or for investigation,Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.5
职务,0,230,0.27861911633844744,26,0.024888968980336323,0.03335116498707051,0.9900215429891812,26,0.005376291108797858,0.9846452518803833,0.01712372533392613,5,zhíwù,post; position; job; duties,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
主席,0,230,0.27851414686334286,3,0.09023597210244014,0.11116612772591232,0.9144786443022812,25,0.07086910156528475,0.8436095427369965,0.09387134613639643,4,zhǔxí,chairperson; premier; chairman,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
联欢,0,230,0.2784313985308137,8,-0.029251924825054287,-0.04053935379878555,0.7801887261567882,8,0.2042119190244014,0.5759768071323869,0.15223302626122845,7-9,liánhuān,to have a get-together; celebration; party,Translation,晚饭 | 午饭 | 晚上 | 下班 | 早饭 | 吃饭 | 夜晚 | 睡觉 | 夜里 | 中午 | 星期天 | 过年,0.25
视察,0,230,0.278380913417471,43,0.0802704906046435,0.10010167595170931,0.9993396342265027,4,0.0001270031977226171,0.9992126310287801,0.0018369875584178365,7-9,shìchá,to inspect; an investigation,Translation,旁边 | 看见 | 前边 | 后边 | 老远 | 那儿 | 外边 | 回来 | 远处 | 路过 | 门口 | 走开,0.5
秘书长,0,230,0.27830309277353726,25,0.08386017247114114,0.10410208610247862,0.9241373415789192,25,0.06635615005257293,0.8577811915263464,0.082063545420791,6,zhǎng (mìshūzhǎng),length; long; forever; always; constantly; chief; head; elder; to grow; to develop; to increase; to enhance,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
团长,0,230,0.27781976347679366,25,0.06556507551937005,0.08323131158897494,0.8830833332810476,25,0.1093135840026505,0.7737697492783971,0.1032067841522972,5,tuánzhǎng,regimental command; head of a delegation; group buy organizer; group-buying coordinator,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
举办,0,230,0.277456196487922,38,0.026092676578426344,0.03485360020830403,0.9946811701182179,38,0.00470998487288082,0.9899711852453371,0.009211745565591064,3,jǔbàn,to conduct; to hold,Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.25
部长,0,230,0.2768711896175073,25,0.05392700702822284,0.06939914201777302,0.6593963276841182,25,0.33050483975822703,0.3288914879258911,0.1819197484198678,3,bùzhǎng,head of a (government etc) department; section chief; section head; secretary; minister,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
就职,0,230,0.2766681159111127,29,0.05740118052726956,0.07352215901793589,0.9912047289993593,29,0.007651315244661152,0.9835534137546982,0.014215905693621828,7-9,jiùzhí,to take office; to assume a post,Translation,补习 | 课程 | 外语 | 考试 | 自学 | 入学 | 研究生 | 高中 | 选修 | 大学 | 初中 | 英语,0.75
参观,0,230,0.2763966593358962,8,0.03745366701016878,0.049212695806617884,0.9992011505344238,4,0.00030693428688124996,0.9988942162475426,0.001978725443823041,2,cānguān,to look around; to tour; to visit,Translation,旁边 | 看见 | 前边 | 后边 | 老远 | 那儿 | 外边 | 回来 | 远处 | 路过 | 门口 | 走开,0.25
当选,0,230,0.2758735057922785,3,0.05483535638340481,0.07039543251289171,0.9948895455622401,3,0.003856438258243985,0.9910331073039961,0.009445136472491672,5,dāngxuǎn,to be elected; to be selected,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.75
推选,0,230,0.27568837826293885,26,0.06666858742093443,0.08428603731047042,0.9960624315305995,26,0.0023544074672909934,0.9937080240633085,0.007944069796083418,7-9,tuīxuǎn,to elect; to choose,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
委员,0,230,0.2753851967879995,25,0.044312823139573326,0.05762938099887221,0.8107050779785904,25,0.18440503287611987,0.6263000451024705,0.13236569099116838,7-9,wěiyuán,committee member,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
现任,0,230,0.2746616150277998,26,0.08983196503519678,0.11020023610326567,0.996834341458806,25,0.002747945921245739,0.9940863955375603,0.006003353341749993,7-9,xiànrèn,"to occupy a post currently; current (president etc); incumbent; (coll.) current boyfriend (girlfriend, spouse)",Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
辞去,0,230,0.27456454376348144,26,0.03545636672679486,0.04659843312379031,0.9962357197236746,26,0.003578014360863003,0.9926577053628116,0.006601910662689005,7-9,cíqù,to resign; to quit,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
洽谈,0,230,0.2734821048248315,26,0.06861414931753648,0.08629277337365067,0.9977540064309612,26,0.0014610191121040095,0.9962929873188572,0.004948016417921583,7-9,qiàtán,to discuss,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.5
嘉宾,0,230,0.2730657861616105,32,0.047013256320660335,0.0607447638674998,0.9708841393250194,32,0.012621258594066573,0.9582628807309528,0.04262223786249885,6,jiābīn,esteemed guest; honored guest; guest (on a show),Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
宣读,0,230,0.2728781532568348,26,0.033072228859777536,0.04350498105835203,0.944917193362929,26,0.02696864040257404,0.9179485529603549,0.07172527794340526,7-9,xuāndú,to read out loud to an audience; a prepared speech (e.g. to a party conference),Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.5
参加,0,230,0.27277651246436946,29,0.05227489472263497,0.06706222349197277,0.991221230248177,4,0.003886541281767265,0.9873346889664097,0.01686326849924595,2,cānjiā,to participate; to take part; to join,Translation,旁边 | 看见 | 前边 | 后边 | 老远 | 那儿 | 外边 | 回来 | 远处 | 路过 | 门口 | 走开,0.5
访谈,0,230,0.27215707803374556,32,0.021199498029037867,0.02830213278063892,0.9599274733420675,32,0.019562264444845816,0.9403652088972217,0.05427524879776379,7-9,fǎngtán,to visit and discuss; to interview,Translation,歌曲 | 戏剧 | 舞蹈 | 歌剧 | 演唱 | 话剧 | 电影 | 音乐 | 喜剧 | 演出 | 独唱 | 剧本,0.5
提名,0,230,0.2700553164547335,26,0.04220022290181852,0.054653242609598744,0.9883478218379297,3,0.00547627416787658,0.9828715476700531,0.01951447159170711,7-9,tímíng,to nominate,Translation,比赛 | 决赛 | 冠军 | 预赛 | 选手 | 单打 | 田径 | 半决赛 | 夺冠 | 亚军 | 乒乓球 | 参赛,0.75
会长,0,230,0.2699685959107855,25,0.09007622017306888,0.10983463329474062,0.9398780076923521,25,0.04693174951458269,0.8929462581777694,0.07493823048018049,6,huìzhǎng,"president of a club, committee etc",Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
交谈,0,230,0.26975837108834705,11,0.0033695883987445163,0.004593152775251076,0.9979673228347961,12,0.0011782829489112691,0.9967890398858847,0.004424907067373868,7-9,jiāotán,to discuss; to converse; chat; discussion,Translation,吵嘴 | 闹着玩儿 | 干活儿 | 说闲话 | 挣钱 | 吵 | 吵架 | 操心 | 玩儿 | 赔钱 | 伺候 | 唠叨,0.5
陪同,0,230,0.2697224277337956,43,0.04440458442336609,0.057319745962807665,0.9782808135269822,4,0.012309980609279288,0.9659708329177029,0.03476050234489355,6,péitóng,to accompany,Translation,旁边 | 看见 | 前边 | 后边 | 老远 | 那儿 | 外边 | 回来 | 远处 | 路过 | 门口 | 走开,0.5
听取,0,230,0.2688256179882731,48,0.030789875111440212,0.040408555681717695,0.9612201302190756,48,0.03411061828982953,0.9271095119292461,0.04777716472657243,6,tīngqǔ,to hear (news); to listen to,Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.5
任期,0,230,0.268599104554113,26,0.035265382412003915,0.045998348212911246,0.9790287367744981,26,0.010171680368762768,0.9688570564057353,0.033615901779074246,7-9,rènqī,term of office; tenure (entire period in office),Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.75
峰会,0,230,0.26821786269522896,3,0.0797764945589993,0.09830034630497368,0.9854252373770749,25,0.004641979364398698,0.9807832580126762,0.026608703227820555,6,fēnghuì,summit meeting,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.5
理事,0,230,0.26811731512282594,25,0.06937324328562267,0.08658063029210765,0.9102756332745333,25,0.08021655385493578,0.8300590794195976,0.09046745724548391,7-9,lǐshì,member of council; (literary) to take care of matters,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
谈话,0,230,0.26770003157302985,11,0.039128525039112516,0.05072216721384666,0.9989048454082238,46,0.0003418058784466875,0.9985630395297771,0.002787149646427214,3,tánhuà,to talk (with sb); to have a conversation; talk; conversation,Translation,文字 | 书 | 抄写 | 书籍 | 稿子 | 字典 | 画册 | 写 | 本子 | 便条 | 字体 | 论文,0.5
典礼,0,230,0.2676007023573395,43,0.03240459871710882,0.04236981384554219,0.9917892035055593,43,0.0060784355040045205,0.9857107680015548,0.014204211107706855,5,diǎnlǐ,celebration; ceremony,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.25
采访,0,230,0.26743814892252676,48,0.045530072258937765,0.05851503002846708,0.977808514542261,48,0.012079156593188676,0.9657293579490723,0.036341659685038365,4,cǎifǎng,to interview; to gather news; to hunt for and collect; to cover,Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.5
贺信,0,230,0.26736225906066574,43,-0.00817299806798083,-0.011155578823310504,0.436490281818617,43,0.3224615490256306,0.11402873279298636,0.28072919556174397,7-9,hèxìn,congratulatory letter or message,Translation,敬重 | 感激 | 祝福 | 敬佩 | 感谢 | 敬意 | 衷心 | 尊敬 | 怀念 | 钦佩 | 祝愿 | 祝贺,0.5
承办,0,230,0.2670495193063827,26,0.04078898887130783,0.05271669660879971,0.9955009092151214,26,0.00245665787391127,0.9930442513412101,0.009164406429657433,5,chéngbàn,to undertake; to accept a contract,Translation,裁决 | 规定 | 驳回 | 裁定 | 判决 | 撤销 | 仲裁 | 审查 | 履行 | 受理 | 申请 | 批准,0.5
主办,0,230,0.2667290958400587,38,0.056194683493096864,0.07118066242780154,0.9971528542248224,38,0.0005664705988628659,0.9965863836259595,0.00654955822479233,5,zhǔbàn,to organize; to host (a conference or sports event),Translation,构建 | 建立 | 遵循 | 着眼于 | 打造 | 确立 | 秉承 | 开辟 | 依托 | 着力 | 制定 | 搭建,0.5
庆典,0,230,0.26620219976857706,8,0.023752219321376555,0.03135399473080092,0.9581424852376181,8,0.02638961633393212,0.931752868903686,0.053819055654110694,7-9,qìngdiǎn,celebration,Translation,晚饭 | 午饭 | 晚上 | 下班 | 早饭 | 吃饭 | 夜晚 | 睡觉 | 夜里 | 中午 | 星期天 | 过年,0.25
顾问,0,230,0.26619864799782933,25,0.051721276003171224,0.06584313953438334,0.7464615590250278,25,0.24381621164449416,0.5026453473805336,0.15933460183981685,5,gùwèn,adviser; consultant,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
汇报,0,230,0.26607208966590523,48,0.00673952129133254,0.009099254271977936,0.5189350689570201,48,0.44857483772800744,0.07036023122901269,0.2185663650591942,4,huìbào,to report; to give an account of; to collect information and report back; to report; to give an account of; report,Translation,解释 | 阐述 | 反驳 | 表述 | 猜测 | 推断 | 分析 | 揣测 | 判断 | 推测 | 断定 | 叙述,0.25
主任,0,230,0.2656986183647496,39,0.07497911395301352,0.09264910542359156,0.9162129889111879,25,0.07994015711211361,0.8362728317990742,0.07996451919989743,3,zhǔrèn,director; head,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
委员会,0,230,0.26558585601288837,26,0.024541907004295066,0.032336400733924596,0.7738481702567389,25,0.11083986298602554,0.6630083072707134,0.2086158755749155,7-9,wěiyuánhuì,committee,Translation,警察 | 军官 | 军人 | 公民 | 士兵 | 民众 | 干部 | 医务 | 官吏 | 职员 | 法官 | 群众,0.75
