token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
春节,0,110,0.39486347047075404,12,0.13522430788268064,0.18264648945422776,0.9994281370800977,12,0.0005716408890237649,0.998856496191074,0.0012381901918725158,2,Chūnjié,Spring Festival (Chinese New Year),Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
周末,0,110,0.3295031750026971,12,0.013104541234562617,0.019169858168653495,0.9931148752676296,12,0.0068545498678881205,0.9862603253997415,0.010575522279908982,2,zhōumò,weekend,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
午餐,0,110,0.3293322443175582,12,0.031831024485306114,0.04531114556199686,0.9998114103523814,35,0.00009861889422126593,0.9997127914581602,0.0005088631837021403,2,wǔcān,lunch; luncheon,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
团圆,0,110,0.32833587047727647,24,0.06310638491370518,0.08588584282278669,0.9941453928765064,24,0.0058328722894039065,0.9883125205871025,0.009230973841361893,7-9,tuányuán,to have a reunion,Translation,感激 | 怀念 | 感动 | 敬佩 | 祝福 | 敬重 | 深情 | 真挚 | 想念 | 钦佩 | 羡慕 | 感谢,1.0
避暑,0,110,0.3278998788858497,12,0.079196429404218,0.10541300815180803,0.9998011165982998,12,0.0001112566375672151,0.9996898599607327,0.0005373102908450821,7-9,bìshǔ,to be away for the summer holidays; to spend a holiday at a summer resort; to prevent sunstroke,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
休假,0,110,0.32741327332978487,12,0.04283657284195774,0.05987584255526316,0.9729493160424233,12,0.026055400852753405,0.9468939151896699,0.03308159770734607,2,xiūjià,to go on vacation; to have a holiday; to take leave,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,0.75
游玩,0,110,0.32604046193664454,12,0.029982918329041486,0.04259285408455068,0.9998645757922646,12,0.0001339923205351469,0.9997305834717295,0.00034530020412378986,6,yóuwán,to amuse oneself; to have fun; to go sightseeing; to take a stroll,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
扫墓,0,110,0.3260126393080858,12,0.039035681576710446,0.054746732240953326,0.999248066307405,12,0.00030670057312480047,0.9989413657342803,0.0018127489365917467,7-9,sǎomù,to sweep a grave (and pay one's respects to the dead person),Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
庙会,0,110,0.3245124414245085,18,0.08211143709992585,0.10838377237646887,0.8326613341306701,18,0.14447460105660387,0.6881867330740663,0.13293391558431442,7-9,miàohuì,temple fair,Translation,戏剧 | 舞蹈 | 音乐 | 歌曲 | 诗歌 | 歌剧 | 话剧 | 文学 | 戏曲 | 歌舞 | 艺术 | 民歌,0.75
度假,0,110,0.3226657378145823,12,0.10201312189754042,0.1308955723481091,0.9982732943942774,35,0.0017039259887722108,0.9965693684055051,0.003288002426207461,7-9,dùjià,to go on holidays; to spend one's vacation,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
拜年,0,110,0.32210682369147275,12,0.06699194034975375,0.08993593622905836,0.9976984560859826,37,0.0022153581102590087,0.9954830979757237,0.004276332571837199,7-9,bàinián,to pay a New Year call; to wish sb a Happy New Year,Translation,接见 | 会见 | 拜会 | 应邀 | 出席 | 致辞 | 出任 | 就任 | 颁奖 | 邀请 | 担任 | 开幕,1.0
用餐,0,110,0.32140862903779854,12,0.0359527315191257,0.05031562277860272,0.999390585892705,35,0.000583562173349629,0.9988070237193554,0.0013365406872692506,7-9,yòngcān,to eat a meal,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
暑期,0,110,0.32121194715196777,38,0.08853662623965908,0.11538352493096465,0.9356871559279676,35,0.05665650194408373,0.8790306539838838,0.06995479914942598,7-9,shǔqī,summer vacation time,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
季节,0,110,0.3180294646197018,46,0.07593721264770575,0.10019321328392053,0.9999988666783991,46,8.905878838640938e-7,0.9999979760905152,4.495389190984384e-6,4,jìjié,time; season; period,Translation,山岭 | 树林 | 山坡 | 树梢 | 树荫 | 山顶 | 峡谷 | 山谷 | 小溪 | 天空 | 大海 | 山峰,1.0
送礼,0,110,0.31767914171378914,28,0.03837292589135849,0.053244424655539926,0.994600651911369,36,0.0053783476625440954,0.989222304248825,0.008623141338671805,6,sònglǐ,to give a present,Translation,收据 | 支票 | 汇款 | 交纳 | 付款 | 缴纳 | 学费 | 账单 | 定金 | 生活费 | 报销 | 返还,1.0
清明,0,110,0.3138732682857368,41,0.0893714945047559,0.11524397024154542,0.9427209587490077,46,0.05539859382532328,0.8873223649236844,0.0586932479594054,7-9,qīngmíng,"Qingming or Pure Brightness, 5th of the 24 solar terms 二十四节气 5th-19th April; Pure Brightness Festival or Tomb Sweeping Day (in early April); clear and bright; sober and calm; (of a government or administration) well ordered",Translation,山岭 | 树林 | 山坡 | 树梢 | 树荫 | 山顶 | 峡谷 | 山谷 | 小溪 | 天空 | 大海 | 山峰,1.0
请客,0,110,0.3128343277718614,28,-0.010856036198939933,-0.015798280731543494,0.9999703967858152,28,0.000027987548007621983,0.9999424092378076,0.00008850251375876596,2,qǐngkè,to give a dinner party; to entertain guests; to invite to dinner,Translation,骂 | 打岔 | 责怪 | 取笑 | 埋怨 | 胡闹 | 嘲笑 | 唠叨 | 责备 | 说闲话 | 插嘴 | 闹着玩儿,1.0
生日,0,110,0.3114606996167943,10,0.023870574299729885,0.03350679875170702,0.9438913759705823,10,0.027076719051141746,0.9168146569194405,0.06762840402809488,1,shēngrì,birthday,Translation,娶 | 去世 | 后代 | 年迈 | 辈 | 后裔 | 子孙 | 嫁 | 恩情 | 年纪 | 岁数 | 遗愿,0.5
腊月,0,110,0.3098188980853507,12,0.009393021118705214,0.01342677038707072,0.9886394620744491,12,0.008963776181605704,0.9796756858928434,0.017479322694993773,7-9,làyuè,twelfth lunar month,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
狂欢,0,110,0.3096161298834192,15,0.05598352019237923,0.07500799327420349,0.9838668760301531,15,0.0077128090824056745,0.9761540669477474,0.02673069985599947,7-9,kuánghuān,party; carousal; hilarity; merriment; whoopee; to carouse,Translation,破灭 | 崩溃 | 消失 | 笼罩 | 悲剧 | 降临 | 汹涌 | 厄运 | 挣扎 | 迷失 | 窒息 | 弥漫,0.25
团聚,0,110,0.309033244664317,10,0.051979983955266706,0.06996461685110164,0.9998054726785313,19,0.00008355616895530511,0.999721916509576,0.0005405352146561218,7-9,tuánjù,to reunite; to have a reunion,Translation,赶往 | 前往 | 赶赴 | 起程 | 抵达 | 奔赴 | 动身 | 赶到 | 搭乘 | 到达 | 飞往 | 离开,1.0
礼物,0,110,0.30843216570813253,24,0.031238844486180695,0.04321880995758375,0.9996796624601268,36,0.0002987024707169699,0.9993809599894099,0.0007640422760114744,2,lǐwù,gift; present,Translation,收据 | 支票 | 汇款 | 交纳 | 付款 | 缴纳 | 学费 | 账单 | 定金 | 生活费 | 报销 | 返还,0.75
婚礼,0,110,0.3081163666558305,10,0.057772221118554345,0.07706499025470757,0.9453526948635119,37,0.051033354954936265,0.8943193399085757,0.05814129898056546,4,hūnlǐ,wedding ceremony; wedding,Translation,接见 | 会见 | 拜会 | 应邀 | 出席 | 致辞 | 出任 | 就任 | 颁奖 | 邀请 | 担任 | 开幕,0.5
野炊,0,110,0.3076580890238826,12,0.010437233176363248,0.014851370111374136,0.9961521487619392,35,0.0020667472709677347,0.9940854014909715,0.007483193593860086,7-9,yěchuī,to cook a meal over a campfire (usu. for a group of people on an outing); cookout,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,0.5
探亲,0,110,0.3062213452919039,12,0.036927406493129644,0.050536608978477296,0.9838490291422941,14,0.007911080402683146,0.9759379487396109,0.02515105000851562,7-9,tànqīn,to go home to visit one's family,Translation,患病 | 病人 | 子女 | 患者 | 孤儿 | 残疾 | 住院 | 生病 | 赡养 | 残疾人 | 上学 | 妇女,0.75
农历,0,110,0.3059574955815193,12,0.0889044226169248,0.11355102056988398,0.9990059729644324,26,0.0005382107361724167,0.99846776222826,0.0023252093158320415,7-9,nónglì,the traditional Chinese calendar; the lunar calendar,Translation,此前 | 月初 | 月底 | 预计 | 年初 | 今年 | 近期 | 上周 | 上个月 | 当日 | 目前 | 之前,1.0
蜜月,0,110,0.30333835934995557,24,0.08846433439528462,0.1126753377254868,0.9996761253976454,24,0.00020588072736152745,0.9994702446702839,0.0008471474975606329,7-9,mìyuè,honeymoon,Translation,感激 | 怀念 | 感动 | 敬佩 | 祝福 | 敬重 | 深情 | 真挚 | 想念 | 钦佩 | 羡慕 | 感谢,1.0
就餐,0,110,0.3033326930584002,12,0.027115027545349724,0.03746295847987235,0.9997207992347845,35,0.00023605616456634504,0.9994847430702182,0.00068962794258624,7-9,jiùcān,to dine,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
旅行,0,110,0.3002649676684495,12,0.059534817211376906,0.07841061678824231,0.9989561983545371,35,0.00044538663154991033,0.9985108117229872,0.002417167068452154,2,lǚxíng,to travel; journey; trip,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
旺季,0,110,0.3001113462659813,31,0.07996039428802029,0.10253316906756105,0.9994568471110205,48,0.00022590071690387276,0.9992309463941166,0.001356667703768923,7-9,wàngjì,busy season; peak period; see also 季,Translation,沿岸 | 水库 | 水源 | 流域 | 河流 | 灌溉 | 北部 | 公路 | 湖泊 | 村庄 | 南部 | 水利,1.0
礼品,0,110,0.2997520943371891,36,0.016490443293211532,0.023007619610742075,0.9955080925766724,36,0.003935483949971511,0.9915726086267008,0.007861066205055504,7-9,lǐpǐn,gift; present,Translation,收据 | 支票 | 汇款 | 交纳 | 付款 | 缴纳 | 学费 | 账单 | 定金 | 生活费 | 报销 | 返还,0.75
秋天,0,110,0.2985713215137573,46,0.026568093406897586,0.03649479562637046,0.9771677571784011,12,0.021133701818568922,0.9560340553598322,0.02945246760426094,2,qiūtiān,autumn,Translation,下班 | 晚饭 | 晚上 | 夜里 | 半夜 | 午饭 | 睡觉 | 回家 | 放学 | 下楼 | 早饭 | 吃饭,1.0
游览,0,110,0.2977717454180151,19,0.024373717980037735,0.03354480018006997,0.9998660845371751,37,0.00010840258489306406,0.999757681952282,0.0003628150608345021,7-9,yóulǎn,to go sightseeing; to tour; to visit,Translation,接见 | 会见 | 拜会 | 应邀 | 出席 | 致辞 | 出任 | 就任 | 颁奖 | 邀请 | 担任 | 开幕,1.0
约会,0,110,0.2976193732111838,12,0.013097861335755412,0.018306436256508317,0.9997409057910749,14,0.0001783030354222867,0.9995626027556526,0.0006821140310024204,4,yuēhuì,appointment; engagement; date; to arrange to meet,Translation,患病 | 病人 | 子女 | 患者 | 孤儿 | 残疾 | 住院 | 生病 | 赡养 | 残疾人 | 上学 | 妇女,1.0
狂欢节,0,110,0.29746437191962694,18,0.07998408180613359,0.10221350439560703,0.8597393226957202,18,0.13657587334260438,0.7231634493531158,0.10907464427071055,7-9,kuánghuānjié,carnival,Translation,戏剧 | 舞蹈 | 音乐 | 歌曲 | 诗歌 | 歌剧 | 话剧 | 文学 | 戏曲 | 歌舞 | 艺术 | 民歌,0.25
春天,0,110,0.29700071108936166,46,0.03042239491857862,0.041480086544131496,0.9929715943541693,46,0.006660763623766304,0.9863108307304029,0.011191222778612949,2,chūntiān,spring (season),Translation,山岭 | 树林 | 山坡 | 树梢 | 树荫 | 山顶 | 峡谷 | 山谷 | 小溪 | 天空 | 大海 | 山峰,1.0
欢聚,0,110,0.29663153403777276,24,0.041925460603399745,0.056253592185563035,0.9998376265188943,24,0.00006551470710126873,0.999772111811793,0.000453904809302405,7-9,huānjù,to get together socially; to celebrate; party; celebration,Translation,感激 | 怀念 | 感动 | 敬佩 | 祝福 | 敬重 | 深情 | 真挚 | 想念 | 钦佩 | 羡慕 | 感谢,1.0
喜酒,0,110,0.2964119839167313,12,0.04464848535245697,0.059671621561879086,0.9997002607767347,20,0.00029955529791665013,0.999400705478818,0.0006986574155559828,7-9,xǐjiǔ,wedding feast; liquor drunk at a wedding feast,Translation,米饭 | 豆腐 | 牛奶 | 肉 | 果酱 | 罐头 | 红薯 | 面条儿 | 蜂蜜 | 果汁 | 水果 | 南瓜,1.0
住宿,0,110,0.2936834060213835,35,0.03439661803425875,0.04643716012677369,0.9726013943791796,35,0.025223963441890877,0.9473774309372887,0.03457140313296654,7-9,zhùsù,to stay at; lodging; accommodation,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
购物,0,110,0.29179094242295534,35,0.05691623046705463,0.0743881183336005,0.610199380188312,35,0.38638739772484576,0.22381198246346623,0.17606426694210894,4,gòuwù,shopping,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,0.25
旅途,0,110,0.2913886555040593,24,0.0298606399843393,0.04043571132269093,0.8722722583070822,24,0.1017155608220458,0.7705566974850364,0.11483541259981359,7-9,lǚtú,journey; trip,Translation,感激 | 怀念 | 感动 | 敬佩 | 祝福 | 敬重 | 深情 | 真挚 | 想念 | 钦佩 | 羡慕 | 感谢,1.0
冬季,0,110,0.28963430685424113,46,0.055011380371087104,0.07187487354215372,0.9998219407058415,46,0.00011296143512334929,0.9997089792707181,0.0004706614194748519,4,dōngjì,winter,Translation,山岭 | 树林 | 山坡 | 树梢 | 树荫 | 山顶 | 峡谷 | 山谷 | 小溪 | 天空 | 大海 | 山峰,1.0
招待,0,110,0.28917238438547727,37,0.017218316386103882,0.023650041335701064,0.9999923380677702,37,6.908295400388489e-6,0.9999854297723698,0.00002571010913568556,7-9,zhāodài,to hold a reception; to offer hospitality; to entertain (guests); to serve (customers),Translation,接见 | 会见 | 拜会 | 应邀 | 出席 | 致辞 | 出任 | 就任 | 颁奖 | 邀请 | 担任 | 开幕,1.0
夏季,0,110,0.2888021965646626,12,0.07726148884386752,0.09799046012956113,0.999443793026142,46,0.0005093786420136703,0.9989344143841282,0.0012564952533864928,4,xiàjì,summer,Translation,山岭 | 树林 | 山坡 | 树梢 | 树荫 | 山顶 | 峡谷 | 山谷 | 小溪 | 天空 | 大海 | 山峰,1.0
节气,0,110,0.2886229110039554,46,0.06567539784636583,0.08451861226677347,0.998760740479186,23,0.00051265648450112,0.9982480839946848,0.002890655950576412,7-9,jiéqì,solar term,Translation,性格 | 人格 | 天性 | 审美 | 情感 | 气质 | 品德 | 本性 | 性情 | 人性 | 自尊 | 感情,1.0
春季,0,110,0.28763569904420677,46,0.08213621652413522,0.10338094779933267,0.999988498984102,48,5.797492386728104e-6,0.9999827014917153,0.00004000533597533824,4,chūnjì,springtime,Translation,沿岸 | 水库 | 水源 | 流域 | 河流 | 灌溉 | 北部 | 公路 | 湖泊 | 村庄 | 南部 | 水利,1.0
淡季,0,110,0.28457339984655877,31,0.058522945085675626,0.07561596934280065,0.9985932326688061,26,0.0003479205968576783,0.9982453120719483,0.0033141766383093883,7-9,dànjì,off season; slow business season; see also 季,Translation,此前 | 月初 | 月底 | 预计 | 年初 | 今年 | 近期 | 上周 | 上个月 | 当日 | 目前 | 之前,1.0
品尝,0,110,0.284097419143379,24,-0.002479751233813887,-0.0034638109990423127,0.9999047549400909,24,0.00009403654322642847,0.9998107183968644,0.000251703732908338,7-9,pǐncháng,to taste a small amount; to sample,Translation,感激 | 怀念 | 感动 | 敬佩 | 祝福 | 敬重 | 深情 | 真挚 | 想念 | 钦佩 | 羡慕 | 感谢,1.0
早餐,0,110,0.28400561008547365,12,-0.006851423479758534,-0.009569102183295654,0.5134409461713109,20,0.47577607527432164,0.03766487089698922,0.1903808176318438,2,zǎocān,breakfast,Translation,米饭 | 豆腐 | 牛奶 | 肉 | 果酱 | 罐头 | 红薯 | 面条儿 | 蜂蜜 | 果汁 | 水果 | 南瓜,0.25
喜事,0,110,0.28289449812383194,24,0.03614574524893385,0.04798630654365276,0.9995407993720886,9,0.00024018096935620625,0.9993006184027324,0.0011502813370726783,7-9,xǐshì,happy occasion; wedding,Translation,道理 | 想法 | 毛病 | 难处 | 事情 | 本事 | 主意 | 念头 | 顾虑 | 好处 | 意思 | 坏处,1.0
便饭,0,110,0.282184399439217,12,-0.025728655239579845,-0.03584298700039364,0.9999350851587413,28,0.00003882643260613498,0.9998962587261352,0.00018933674728475788,7-9,biànfàn,an ordinary meal; simple home cooking,Translation,骂 | 打岔 | 责怪 | 取笑 | 埋怨 | 胡闹 | 嘲笑 | 唠叨 | 责备 | 说闲话 | 插嘴 | 闹着玩儿,1.0
休闲,0,110,0.28198339685537044,41,0.0537126051667936,0.0696003268870943,0.9904550089392292,35,0.005356285414379248,0.98509872352485,0.015976669661065954,5,xiūxián,leisure; relaxation; not working; idle; to enjoy leisure; to lie fallow,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 洗手间 | 饭馆 | 浴室 | 车厢 | 地铁站 | 宾馆 | 餐厅,1.0
