token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
揣摩,0,51,0.3920539425207149,142,0.08914870443864359,0.12788606271171396,1.0,66,4.1684302392892646e-29,1.0,5.141183107836857e-28,7-9,chuǎimó,to analyze; to try to figure out; to try to fathom,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,1.0
领会,0,51,0.3439678331852632,142,0.03904668131084155,0.056175902080949185,1.0,66,2.349375271484971e-21,1.0,2.1062469783871942e-20,7-9,lǐnghuì,to understand; to comprehend; to grasp,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.0
寻觅,0,51,0.34250906746853893,119,0.07048985473628944,0.09682927897156625,1.0,10,9.078061216549871e-43,1.0,4.735791530454661e-41,7-9,xúnmì,to look for,Translation,回去 | 想 | 快点儿 | 好好 | 待会儿 | 赶快 | 顺便 | 先 | 回来 | 去 | 空儿 | 帮,0.5
深思,0,51,0.33937496408638984,122,-0.011574948048873768,-0.017521207068494096,1.0,68,2.924420531594282e-26,1.0,3.3305560552279127e-25,7-9,shēnsī,to ponder; to consider,Translation,茫然 | 焦躁 | 慌张 | 慌乱 | 胆怯 | 惊慌 | 恐惧 | 不安 | 消沉 | 畏缩 | 惊慌失措 | 畏惧,0.0
钻研,0,51,0.33591847371132244,112,-0.022375386157643007,-0.03369373378399986,1.0,80,7.246087216292564e-22,1.0,6.6570854989329554e-21,7-9,zuānyán,to study meticulously; to delve into,Translation,拼搏 | 刻苦 | 兢兢业业 | 辛勤 | 勤奋 | 艰苦奋斗 | 顽强 | 不懈 | 奋勇 | 毅力 | 努力 | 艰苦,0.0
欣赏,0,51,0.33482480288735494,112,-0.039125473285903545,-0.058819801844291836,1.0,112,2.88839410627142e-40,1.0,4.9704314423977076e-39,5,xīnshǎng,to appreciate; to enjoy; to admire,Translation,迷恋 | 喜欢 | 痴迷 | 爱好 | 喜爱 | 着迷 | 热衷 | 嗜好 | 热爱 | 讨厌 | 喜好 | 兴趣,0.0
倾听,0,51,0.33252344794639443,179,0.010881875302871491,0.016041483180621156,1.0,130,1.8642404025340017e-34,1.0,3.881306373048912e-33,7-9,qīngtīng,to listen attentively,Translation,拜访 | 参观 | 拜会 | 应邀 | 看望 | 接见 | 会见 | 视察 | 陪同 | 专程 | 探望 | 访问,0.5
留心,0,51,0.3321570154690305,15,0.010770305588857942,0.015871050192601086,1.0,188,7.475537574562067e-21,1.0,6.541261636365899e-20,7-9,liúxīn,to be careful; to pay attention to,Translation,细致 | 细心 | 周密 | 认真 | 严谨 | 慎重 | 用心 | 精细 | 扎实 | 讲究 | 注重 | 面面俱到,0.25
观察,0,51,0.3319092514889953,66,0.04664207179872526,0.06525805234257032,1.0,192,4.0517914394454216e-27,1.0,4.6475627190472815e-26,3,guānchá,to observe; to watch; to survey,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.5
摸索,0,51,0.3316611572517128,20,0.05329797587934565,0.07385706286536849,1.0,90,3.598349839004466e-37,1.0,5.728748900078854e-36,7-9,mōsuǒ,to feel about; to grope about; to fumble; to do things slowly,Translation,产业 | 业务 | 创新 | 产品 | 研发 | 运营 | 企业 | 领域 | 平台 | 发展 | 应用 | 行业,0.75
回味,0,51,0.32670390452221704,89,0.0018983411348060808,0.0028115473586097697,1.0,187,4.139351588069505e-35,1.0,8.063654435620017e-34,7-9,huíwèi,to call to mind and ponder over; aftertaste,Translation,思念 | 心事 | 牵挂 | 恨 | 挂念 | 心意 | 恩情 | 感情 | 怨 | 情 | 想念 | 深情,0.0
辨别,0,51,0.3256154114341929,66,0.04770179122297097,0.0660610593942022,1.0,8,2.7033459531572186e-23,1.0,2.651394426881393e-22,7-9,biànbié,to distinguish; to differentiate; to discern; to recognize; to tell,Translation,审核 | 审查 | 验收 | 审批 | 认证 | 评审 | 鉴定 | 登记 | 评定 | 评估 | 检验 | 审定,0.5
找出,0,51,0.32494756241801837,161,0.05413161606010364,0.07423587472837653,1.0,192,4.0449051881222505e-33,1.0,5.696287306254244e-32,2,zhǎochū,to find; to search out,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.5
搜集,0,51,0.3240754818821656,91,0.037178563424722366,0.05213631014509031,1.0,192,3.66225063867815e-15,0.9999999999999963,2.2976307555531317e-14,7-9,sōují,to gather; to collect,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.5
探索,0,51,0.32381145210576845,20,0.015492341808982069,0.022398105889017004,1.0,20,4.670810516060572e-21,1.0,4.126926047304462e-20,6,tànsuǒ,to explore; to probe,Translation,商讨 | 讨论 | 探讨 | 谈论 | 磋商 | 研讨 | 谈 | 协商 | 商量 | 争论 | 洽谈 | 辩论,0.25
领略,0,51,0.32364604938745073,89,0.000670934035545967,0.0009910035077879092,1.0,130,3.2740954383212685e-43,1.0,6.045105553690214e-42,7-9,lǐnglüè,to have a taste of; to realize; to appreciate,Translation,拜访 | 参观 | 拜会 | 应邀 | 看望 | 接见 | 会见 | 视察 | 陪同 | 专程 | 探望 | 访问,0.0
捕捉,0,51,0.3216608757860538,101,0.04921816297321896,0.06764850526547947,1.0,192,7.31184628396092e-32,1.0,9.893893105313931e-31,7-9,bǔzhuō,to catch; to seize; to capture,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.75
分辨,0,51,0.3188827988381119,66,0.025717292871688224,0.03638375473858325,1.0,66,3.448640314408695e-34,1.0,5.5108785647071774e-33,7-9,fēnbiàn,to distinguish; to differentiate; to resolve,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.5
发掘,0,51,0.31715761703252787,157,0.06677019305225318,0.08907293605823415,1.0,192,1.1998782537532938e-34,1.0,1.7688125983113297e-33,7-9,fājué,to excavate; to explore; (fig.) to unearth; to tap into,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.75
吸取,0,51,0.3156102399404819,117,0.06297727827554295,0.0842655282414379,1.0,148,9.272105458109902e-27,1.0,1.0490044373596046e-25,7-9,xīqǔ,"to absorb; to draw (a lesson, insight etc); to assimilate",Translation,包含 | 具有 | 拥有 | 涵盖 | 采用 | 具备 | 基于 | 涉及 | 含有 | 用于 | 依托 | 借助,0.0
感受,0,51,0.3152958091258714,16,0.006422704203997542,0.009293089662313842,1.0,1,2.531760291833956e-29,1.0,3.146422611621522e-28,3,gǎnshòu,to sense; perception; to feel (through the senses); to experience; a feeling; an impression; an experience,Translation,时尚 | 创意 | 娱乐 | 科幻 | 休闲 | 时装 | 趣味 | 影视 | 原创 | 文艺 | 卡通 | 怀旧,0.0
正视,0,51,0.3102667979673117,15,0.008659119228553058,0.01239864609753343,1.0,19,7.372631913010946e-30,1.0,9.408205206029392e-29,7-9,zhèngshì,to face squarely; to meet head on; to face up to,Translation,扭头 | 小声 | 摇头 | 坐下 | 发愣 | 点头 | 走开 | 咧嘴 | 一言不发 | 苦笑 | 瞅 | 瞪,0.25
反省,0,51,0.31015292088751667,184,0.0003037818458196395,0.00044016730689543787,1.0,68,5.1361139409198416e-36,1.0,7.897179357938797e-35,7-9,fǎnxǐng,to reflect upon oneself; to examine one's conscience; to question oneself; to search one's soul,Translation,茫然 | 焦躁 | 慌张 | 慌乱 | 胆怯 | 惊慌 | 恐惧 | 不安 | 消沉 | 畏缩 | 惊慌失措 | 畏惧,0.0
借鉴,0,51,0.3072763945037573,117,0.04864638432799051,0.06561687820614884,1.0,66,1.5668657054787047e-32,1.0,2.1695208021385583e-31,6,jièjiàn,to draw on (others' experience); to learn from (how others do things); lesson to be learned (by observing others),Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.0
梳理,0,51,0.30562835173492153,66,0.020131357256912452,0.028175329006776172,1.0,66,3.8092374708691374e-28,1.0,4.539102025012013e-27,7-9,shūlǐ,to comb; fig. to sort out,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.75
启发,0,51,0.302295173495447,84,0.032936097126982866,0.04507836347747834,1.0,140,7.058184655499207e-39,1.0,1.913356685836855e-37,5,qǐfā,to enlighten; to explain (a text etc); to stimulate (a mental attitude); enlightenment; revelation; motivation,Translation,技巧 | 绝技 | 窍门 | 诀窍 | 绝招 | 本领 | 秘诀 | 招数 | 技艺 | 手艺 | 要领 | 秘方,0.0
模仿,0,51,0.29765541517072747,84,-0.02761364516775533,-0.03931637797772402,1.0,129,3.3285438223969806e-35,1.0,4.9873618745445476e-34,5,mófǎng,to imitate; to copy; to emulate; to mimic; model,Translation,诈骗 | 假冒 | 敲诈 | 欺诈 | 贿赂 | 贪污 | 盗窃 | 非法 | 伪造 | 走私 | 倒卖 | 造假,0.5
辨认,0,51,0.29748789273252413,74,0.016983803113305773,0.023605141972686716,1.0,192,1.0965797209713142e-35,1.0,1.7641023540580053e-34,7-9,biànrèn,to recognize; to identify,Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.5
找到,0,51,0.29626725437670315,34,-0.07233112218478016,-0.10278208969900421,1.0,10,2.2185108551713232e-30,1.0,2.859054260211269e-29,1,zhǎodào,to find,Translation,回去 | 想 | 快点儿 | 好好 | 待会儿 | 赶快 | 顺便 | 先 | 回来 | 去 | 空儿 | 帮,0.5
了解,0,51,0.29306987289608977,66,0.007433130482989714,0.010405253075443124,1.0,66,1.5723491247369347e-20,1.0,1.353218117212008e-19,4,liǎojiě,to understand; to realize; to find out; to understand; to realize; to find out,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.0
提炼,0,51,0.28983376370654307,101,0.025978081320362,0.035289386467817783,1.0,139,5.700023239945854e-29,1.0,7.008042678647151e-28,7-9,tíliàn,"to extract (ore, minerals etc); to refine; to purify; to process",Translation,加热 | 干燥 | 温度 | 液体 | 湿度 | 气体 | 溶解 | 空气 | 浸泡 | 低温 | 冲洗 | 常温,0.75
尝试,0,51,0.2799194041241445,173,0.016475192545776285,0.022367881435133505,1.0,173,5.573092742956558e-32,1.0,1.0442061564905915e-30,5,chángshì,to try; to attempt,Translation,不肯 | 偷偷 | 愿意 | 执意 | 竭力 | 故意 | 不惜 | 情愿 | 极力 | 刻意 | 宁愿 | 拼命,0.25
观赏,0,51,0.2777580078939033,52,-0.026313177640074015,-0.03643263328312352,1.0,130,3.373386443783329e-35,1.0,5.053700071403736e-34,7-9,guānshǎng,to look at sth with pleasure; to watch (sth marvelous); ornamental,Translation,拜访 | 参观 | 拜会 | 应邀 | 看望 | 接见 | 会见 | 视察 | 陪同 | 专程 | 探望 | 访问,0.0
留意,0,51,0.2755886088740011,15,0.02084827690574026,0.027974513850724615,1.0,188,1.8928564370994427e-36,1.0,2.9599204978499815e-35,7-9,liúyì,to be mindful; to pay attention to; to take note of,Translation,细致 | 细心 | 周密 | 认真 | 严谨 | 慎重 | 用心 | 精细 | 扎实 | 讲究 | 注重 | 面面俱到,0.5
挑选,0,51,0.2721818736225363,168,0.0024933977140429997,0.0034141563316349662,1.0,8,5.59894221244814e-29,1.0,6.874347916289482e-28,4,tiāoxuǎn,to choose; to select,Translation,审核 | 审查 | 验收 | 审批 | 认证 | 评审 | 鉴定 | 登记 | 评定 | 评估 | 检验 | 审定,0.5
抓住,0,51,0.27201727275990845,34,-0.00835265873741503,-0.011473704560383541,1.0,148,1.1387420884932824e-35,1.0,1.7327664682625853e-34,3,zhuāzhù,to grab hold of; to capture,Translation,包含 | 具有 | 拥有 | 涵盖 | 采用 | 具备 | 基于 | 涉及 | 含有 | 用于 | 依托 | 借助,0.25
从中,0,51,0.2642560218560585,173,0.047910948348213245,0.06113781299464968,1.0,181,6.621680688330242e-31,1.0,8.684731627497528e-30,5,cóngzhōng,from within; therefrom,Translation,共计 | 总共 | 总计 | 一共 | 约 | 大约 | 共 | 合计 | 累计 | 共有 | 仅 | 历时,0.0
学会,0,51,0.24578512717386133,142,-0.029789252278392048,-0.03949703639066135,1.0,173,1.0805432241147542e-31,1.0,2.2317432719416713e-30,6,xuéhuì,to learn; to master; institute; learned society; (scholarly) association,Translation,不肯 | 偷偷 | 愿意 | 执意 | 竭力 | 故意 | 不惜 | 情愿 | 极力 | 刻意 | 宁愿 | 拼命,0.0
关注,0,51,0.24285857106766176,112,-0.024180727114963968,-0.03193686964014341,1.0,66,7.699791941744889e-31,1.0,1.1542600227126973e-29,3,guānzhù,to pay attention to; to follow sth closely; to follow (on social media); concern; interest; attention,Translation,推断 | 推测 | 判断 | 解释 | 分析 | 阐述 | 表述 | 断定 | 结论 | 概括 | 预测 | 猜测,0.25
整理,0,51,0.24113752433862679,41,0.024988572350960886,0.031879235748075004,1.0,192,1.235199715640957e-33,1.0,1.7684390362936807e-32,3,zhěnglǐ,"to arrange; to tidy up; to sort out; to straighten out; to list systematically; to collate (data, files); to pack (luggage)",Translation,下载 | 查询 | 扫描 | 数据库 | 浏览器 | 登录 | 搜索 | 查找 | 浏览 | 输入 | 监控 | 网页,0.75
第一手,0,51,0.236513004745846,41,-0.00966718455112689,-0.012661885023868334,1.0,49,7.93906848936954e-29,1.0,9.695363474639901e-28,7-9,dìyīshǒu,first-hand,Translation,播出 | 频道 | 专栏 | 电视台 | 栏目 | 播放 | 视频 | 杂志 | 博客 | 直播 | 访谈 | 电台,0.25
时尚,1,43,0.35435418129906315,55,0.03533165075859024,0.05188372940830478,1.0,55,2.533645493486646e-22,1.0,2.377946061730334e-21,7-9,shíshàng,fashion; fad; fashionable,Translation,精致 | 优美 | 别致 | 古朴 | 简洁 | 优雅 | 质朴 | 朴实 | 细腻 | 高雅 | 新颖 | 美观,0.25
创意,1,43,0.34585402119955844,140,0.07940813190981477,0.1082512261200863,1.0,140,2.809474878354895e-29,1.0,3.4918563099054687e-28,6,chuàngyì,creative; creativity,Translation,技巧 | 绝技 | 窍门 | 诀窍 | 绝招 | 本领 | 秘诀 | 招数 | 技艺 | 手艺 | 要领 | 秘方,0.5
娱乐,1,43,0.3342828786634445,12,0.07232350014470701,0.09799392884303885,1.0,12,9.258547966738908e-30,1.0,1.169039499277126e-28,6,yúlè,to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy,Translation,餐厅 | 餐馆 | 饭店 | 饭馆 | 酒楼 | 旅馆 | 酒吧 | 酒店 | 宾馆 | 餐饮 | 旅店 | 中餐,0.25
科幻,1,43,0.3214215391048439,128,0.0016222010424899458,0.0023848860097678017,1.0,128,1.3918694672738843e-16,0.9999999999999999,9.591374792781892e-16,7-9,kēhuàn,science fiction; abbr. for 科学幻想,Translation,歌剧 | 演唱 | 歌曲 | 话剧 | 独唱 | 舞蹈 | 戏剧 | 演奏 | 演出 | 合唱 | 乐曲 | 歌唱,0.25
休闲,1,43,0.31519049555730666,52,-0.010837708750757513,-0.015825873736342908,1.0,52,6.672062876485057e-32,1.0,9.039712586065981e-31,5,xiūxián,leisure; relaxation; not working; idle; to enjoy leisure; to lie fallow,Translation,游玩 | 郊游 | 骑车 | 爬山 | 游览 | 徒步 | 旅行 | 出游 | 登山 | 步行 | 散步 | 驾车,0.0
时装,1,43,0.3083626434649842,17,-0.10406684132974975,-0.1504644599463319,1.0,17,1.2399745871141712e-14,0.9999999999999876,7.493954782496902e-14,6,shízhuāng,fashion; fashionable clothes,Translation,衬衣 | 衬衫 | 裙子 | 毛衣 | 上衣 | 衣服 | 大衣 | 外套 | 短裤 | 裤子 | 袜子 | 西装,0.0
趣味,1,43,0.3083317444417058,112,-0.03354279314030412,-0.04849549313670528,1.0,140,2.7491405688138697e-29,1.0,3.4123011464571563e-28,7-9,qùwèi,fun; interest; delight; taste; liking; preference,Translation,技巧 | 绝技 | 窍门 | 诀窍 | 绝招 | 本领 | 秘诀 | 招数 | 技艺 | 手艺 | 要领 | 秘方,0.0
影视,1,43,0.29936135890563953,128,-0.014191647234426619,-0.020255301951745158,1.0,128,6.953680659867336e-17,0.9999999999999999,4.883204381318532e-16,3,yǐngshì,movies and television,Translation,歌剧 | 演唱 | 歌曲 | 话剧 | 独唱 | 舞蹈 | 戏剧 | 演奏 | 演出 | 合唱 | 乐曲 | 歌唱,0.25
原创,1,43,0.2976754706352411,128,0.002717157857497987,0.003853896736522315,1.0,49,3.64746505660623e-21,1.0,5.4134808623712727e-20,7-9,yuánchuàng,to create (sth original); (adj.) original; originality; original work,Translation,播出 | 频道 | 专栏 | 电视台 | 栏目 | 播放 | 视频 | 杂志 | 博客 | 直播 | 访谈 | 电台,0.25
文艺,1,43,0.29745730314078617,128,-0.05368395653905145,-0.07641379915989568,1.0,128,1.9378760878942616e-17,1.0,1.4503582037927932e-16,5,wényì,literature and art,Translation,歌剧 | 演唱 | 歌曲 | 话剧 | 独唱 | 舞蹈 | 戏剧 | 演奏 | 演出 | 合唱 | 乐曲 | 歌唱,0.25
卡通,1,43,0.29642159019868286,128,0.001982657295497514,0.0028100435071560727,1.0,4,5.1592156060109295e-23,1.0,5.174948216058328e-22,7-9,kǎtōng,cartoon (loanword),Translation,妖怪 | 魔鬼 | 神仙 | 怪物 | 仙女 | 梦幻 | 巫婆 | 神 | 星星 | 天使 | 童话 | 月亮,0.25
怀旧,1,43,0.2943541559585485,112,-0.04321379238226242,-0.0612400579513991,1.0,187,9.840613328461347e-35,1.0,1.968070838801554e-33,7-9,huáijiù,to feel nostalgic; nostalgia,Translation,思念 | 心事 | 牵挂 | 恨 | 挂念 | 心意 | 恩情 | 感情 | 怨 | 情 | 想念 | 深情,0.0
励志,1,43,0.29376212756078063,199,0.005303901301369041,0.007454096859958682,1.0,131,2.8941469541012912e-30,1.0,3.7152362773400934e-29,7-9,lìzhì,to pursue a goal with determination; inspirational; motivational,Translation,品德 | 楷模 | 美德 | 品行 | 修养 | 作风 | 责任感 | 价值观 | 高尚 | 风范 | 风气 | 表率,0.25
精品,1,43,0.2887058589527789,89,0.016910730690593623,0.023222490465131307,1.0,89,1.3911492512715729e-24,1.0,1.44231617410021e-23,6,jīngpǐn,quality goods; premium product; fine work (of art),Translation,韵味 | 浓郁 | 风味 | 底蕴 | 风情 | 醇厚 | 原汁原味 | 精髓 | 气息 | 魅力 | 独特 | 风貌,0.25
文娱,1,43,0.2877720431365353,128,0.041821922237062714,0.055463071338132615,1.0,30,1.8750914989983792e-29,1.0,2.362235134120296e-28,6,wényú,cultural recreation; entertainment,Translation,探测 | 卫星 | 观测 | 仪器 | 激光 | 微型 | 测量 | 无线电 | 小型 | 三维 | 人造 | 太空,0.25
游戏,1,43,0.2858934579434963,128,-0.014112110715662873,-0.01976191210211074,1.0,128,1.9096113200210996e-22,1.0,2.0114144647533735e-21,3,yóuxì,game; to play,Translation,歌剧 | 演唱 | 歌曲 | 话剧 | 独唱 | 舞蹈 | 戏剧 | 演奏 | 演出 | 合唱 | 乐曲 | 歌唱,0.25
公益,1,43,0.28585981088414164,194,0.023104569456793567,0.031339075914931416,1.0,39,1.8437401808459734e-27,1.0,3.296169781386116e-26,7-9,gōngyì,public good; public welfare; public interest,Translation,妇女 | 老人 | 残疾人 | 青年 | 儿童 | 大学生 | 军人 | 青少年 | 中学生 | 小学生 | 农民工 | 盲人,0.0
新潮,1,43,0.2835527749401047,55,-0.010949715005805216,-0.015283351826632737,1.0,55,8.425519161087898e-21,1.0,7.350503529584293e-20,7-9,xīncháo,modern; fashionable,Translation,精致 | 优美 | 别致 | 古朴 | 简洁 | 优雅 | 质朴 | 朴实 | 细腻 | 高雅 | 新颖 | 美观,0.5
社交,1,43,0.28337608152801186,16,0.014456812547518072,0.01977457746336409,1.0,90,2.526555991629429e-31,1.0,3.3899202091065006e-30,7-9,shèjiāo,interaction; social contact,Translation,产业 | 业务 | 创新 | 产品 | 研发 | 运营 | 企业 | 领域 | 平台 | 发展 | 应用 | 行业,0.0
潮流,1,43,0.28109867298294705,17,-0.019247201349483156,-0.02677307806531097,1.0,131,2.0178597806105575e-36,1.0,3.444085667014652e-35,4,cháoliú,tide; current; trend,Translation,品德 | 楷模 | 美德 | 品行 | 修养 | 作风 | 责任感 | 价值观 | 高尚 | 风范 | 风气 | 表率,0.5
科普,1,43,0.2775152849216753,41,-0.007090673691858507,-0.009814288861584928,1.0,41,1.446976234969525e-31,1.0,2.0423435875243387e-30,7-9,kēpǔ,(attributive) popular science; (coll.) to explain in layperson's terms; abbr. for 科学普及,Translation,课本 | 教材 | 课文 | 复习 | 课程 | 课 | 背诵 | 预习 | 写作 | 作文 | 书籍 | 备课,0.25
摄影,1,43,0.27682848175502706,128,-0.031317742221962486,-0.043306105718828466,1.0,128,1.0658973951056469e-17,1.0,7.865915064611629e-17,5,shèyǐng,to take a photograph; photography; to shoot (a movie),Translation,歌剧 | 演唱 | 歌曲 | 话剧 | 独唱 | 舞蹈 | 戏剧 | 演奏 | 演出 | 合唱 | 乐曲 | 歌唱,0.0
户外,1,43,0.2725336368252689,52,-0.02655306342851943,-0.036500743914315605,1.0,52,3.1892948194772647e-32,1.0,4.3681936950961885e-31,6,hùwài,outdoor,Translation,游玩 | 郊游 | 骑车 | 爬山 | 游览 | 徒步 | 旅行 | 出游 | 登山 | 步行 | 散步 | 驾车,0.0
都市,1,43,0.2680827819203061,42,0.006843022363095308,0.009262846033773853,1.0,39,2.9947968408685574e-17,1.0,2.1505553550321053e-16,6,dūshì,city; metropolis,Translation,妇女 | 老人 | 残疾人 | 青年 | 儿童 | 大学生 | 军人 | 青少年 | 中学生 | 小学生 | 农民工 | 盲人,0.5
少儿,1,43,0.2667984376024878,39,-0.02225121387882767,-0.030348017543863282,1.0,39,8.931282493022892e-23,1.0,8.558198900687832e-22,6,shào'ér,child,Translation,妇女 | 老人 | 残疾人 | 青年 | 儿童 | 大学生 | 军人 | 青少年 | 中学生 | 小学生 | 农民工 | 盲人,0.25
酷,1,43,0.2661068495992513,60,-0.024232148023116684,-0.033018632221713085,1.0,183,5.610593206354613e-25,1.0,5.913110512867635e-24,6,kù,ruthless; strong (e.g. of wine); (loanword) cool; hip,Translation,福 | 德 | 利 | 海 | 宝 | 富 | 腾 | 安 | 俊 | 盛 | 信 | 金,0.0
传媒,1,43,0.26606136017961957,49,0.014923776880349848,0.019928596425094564,1.0,49,1.8201260090343136e-18,1.0,1.403240434461873e-17,6,chuánméi,media,Translation,播出 | 频道 | 专栏 | 电视台 | 栏目 | 播放 | 视频 | 杂志 | 博客 | 直播 | 访谈 | 电台,0.25
奢侈,1,43,0.26560263318010735,61,-0.056151348678348534,-0.07645908225610416,1.0,12,1.8857820434859022e-28,1.0,2.2721309244958953e-27,7-9,shēchǐ,luxurious; extravagant,Translation,餐厅 | 餐馆 | 饭店 | 饭馆 | 酒楼 | 旅馆 | 酒吧 | 酒店 | 宾馆 | 餐饮 | 旅店 | 中餐,0.0
