token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
魅力,0,164,0.33245281890765455,1,0.051931073252129756,0.0721787947565486,0.9998478159565728,26,0.00010912035595891432,0.9997386956006139,0.0004104611505282552,7-9,mèilì,charm; fascination; glamor; charisma,Translation,真挚 | 祝福 | 感激 | 真诚 | 感恩 | 牵挂 | 深情 | 快乐 | 幸福 | 思念 | 情谊 | 亲爱,0.75
内涵,0,164,0.29644341453676126,28,0.03654286954577152,0.04937562012571227,0.9879557736969993,22,0.009420052157673242,0.978535721539326,0.018553147634004338,7-9,nèihán,meaningful content; implication; connotation (semantics); inner qualities (of a person),Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,1.0
魄力,0,164,0.29477421486857613,37,0.01080844851591023,0.015094876764277275,0.9868230716656803,16,0.00634242020408709,0.9804806514615932,0.021166882637370335,7-9,pòlì,courage; daring; boldness; resolution; drive,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
精髓,0,164,0.294190972425892,4,0.050320467545557385,0.06655006565719761,0.85715130363932,16,0.14159473447774734,0.7155565691615726,0.10686292106517568,7-9,jīngsuǐ,marrow; pith; quintessence; essence,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.75
典范,0,164,0.2905040570329231,4,0.07055811325724701,0.09045285092006021,0.9651228515091065,16,0.03389682965203216,0.9312260218570744,0.039917880704818255,7-9,diǎnfàn,model; example; paragon,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
根基,0,164,0.29024469315426377,28,0.0441166020399518,0.058520023786482876,0.9935713420985337,4,0.003931504466030533,0.9896398376325032,0.011879323231104816,7-9,gēnjī,foundation,Translation,方法 | 路子 | 好处 | 举措 | 思路 | 步骤 | 诀窍 | 主意 | 原则 | 窍门 | 计策 | 措施,0.5
气势,0,164,0.28839818701263475,1,0.01270260563138137,0.017537661382220095,0.9999700430588161,14,0.000015796389605227406,0.9999542466692108,0.00009816389395533993,7-9,qìshì,imposing manner; loftiness; grandeur; energetic looks; vigor,Translation,小声 | 大声 | 招呼 | 嬉笑 | 点头 | 插嘴 | 扭头 | 交头接耳 | 自言自语 | 神情 | 听见 | 坐下,0.5
活力,0,164,0.28666660885422696,1,0.02638484970110555,0.03566878338825106,0.9975260459502988,1,0.001866858087774462,0.9956591878625244,0.00486175938872076,5,huólì,energy; vitality; vigor; vital force,Translation,迷人 | 优美 | 古朴 | 明媚 | 美妙 | 艳丽 | 别致 | 翠绿 | 明亮 | 质朴 | 浓郁 | 纯朴,0.5
理念,0,164,0.285360184267937,4,0.01642353984233602,0.022465275707099268,0.9711047607179368,35,0.0251564785209207,0.9459482821970161,0.0372472428360304,7-9,lǐniàn,idea; concept; philosophy; theory,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.5
感染力,0,164,0.28209967239769135,1,0.008391264627135298,0.011553575336563244,0.9093030034349584,14,0.0814429670345219,0.8278600364004365,0.08803199242913708,7-9,gǎnrǎnlì,"infectiousness (of a disease); appeal; power; impact (of an image, marketing message, performance etc)",Translation,小声 | 大声 | 招呼 | 嬉笑 | 点头 | 插嘴 | 扭头 | 交头接耳 | 自言自语 | 神情 | 听见 | 坐下,0.75
缩影,0,164,0.2809796771442528,22,0.0263867831746859,0.03539915699919352,0.9863900883977352,22,0.013223608501861776,0.9731664798958735,0.018981046131494247,7-9,suōyǐng,miniature version of sth; microcosm; epitome; (Tw) to microfilm,Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,0.75
源泉,0,164,0.28080896897316887,4,0.05054831504842536,0.06566939225097548,0.9888962576624433,28,0.009024522819046797,0.9798717348433965,0.017597394198292707,7-9,yuánquán,fountainhead; well-spring; water source; fig. origin,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,1.0
斗志,0,164,0.2803938767361646,44,-0.014307628314502718,-0.019882582779603433,0.9549252719970532,44,0.04236231466011775,0.9125629573369355,0.04975123927871171,7-9,dòuzhì,will to fight; fighting spirit,Translation,努力 | 兢兢业业 | 拼搏 | 刻苦 | 坚持不懈 | 一心一意 | 奋勇 | 竭尽全力 | 艰苦奋斗 | 不懈 | 奋力 | 拼命,0.5
生机,0,164,0.2780191022544335,1,0.0003088254082767028,0.0004275644500772232,0.9870816644760722,1,0.012528023818693211,0.9745536406573789,0.01824916526836783,7-9,shēngjī,opportunity to live; to reprieve from death; life force; vitality,Translation,迷人 | 优美 | 古朴 | 明媚 | 美妙 | 艳丽 | 别致 | 翠绿 | 明亮 | 质朴 | 浓郁 | 纯朴,0.75
力量,0,164,0.27596734788777777,28,0.02792184994742422,0.03713236621490349,0.9923542689536385,28,0.0031459009577843875,0.9892083679958541,0.014191505275205117,3,lìliàng,power; force; strength,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
历程,0,164,0.2759103679580582,22,0.03889844093414341,0.050981715588839245,0.9943448654358967,26,0.0038592118189435796,0.9904856536169532,0.009933264120108328,7-9,lìchéng,course; process,Translation,真挚 | 祝福 | 感激 | 真诚 | 感恩 | 牵挂 | 深情 | 快乐 | 幸福 | 思念 | 情谊 | 亲爱,1.0
面貌,0,164,0.2738364265658919,1,0.04013189320107974,0.05237130447515145,0.9974421731917135,22,0.0022596554950974294,0.995182517696616,0.00491075501109352,5,miànmào,face; features; appearance; look,Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,0.5
形象,0,164,0.2727245449911948,37,0.0005693286235854966,0.0007822115873994432,0.9904021485080252,28,0.00864876228031446,0.9817533862277108,0.0148350711628778,3,xíngxiàng,image; form; figure; visualization; vivid,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
氛围,0,164,0.27111025729019966,1,0.03827678621864186,0.04989371248000852,0.9990779635073088,28,0.0006137638468412696,0.9984641996604675,0.00209419599786424,7-9,fēnwéi,ambience; atmosphere,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.75
步伐,0,164,0.2701599851708772,4,0.014215286843318797,0.019105148248210177,0.977550709825308,4,0.01707152660232638,0.9604791832229816,0.030827775524385294,7-9,bùfá,pace; (measured) step; march,Translation,方法 | 路子 | 好处 | 举措 | 思路 | 步骤 | 诀窍 | 主意 | 原则 | 窍门 | 计策 | 措施,0.5
风格,0,164,0.2696945681242857,37,0.036926288952570385,0.04812925215436298,0.9996577799567175,18,0.00021058023681758524,0.9994471997198998,0.0008575402143577804,4,fēnggé,style,Translation,形状 | 放置 | 摆放 | 制成 | 填充 | 花纹 | 体积 | 厚度 | 安装 | 圆形 | 尺寸 | 遮盖,0.25
楷模,0,164,0.2691612757599901,28,0.010512311947460662,0.014179938294174578,0.6461451135297198,28,0.320934048932433,0.3252110645972868,0.20165442202580108,7-9,kǎimó,model; example,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
使命,0,164,0.26856809936308224,4,0.023807925960248083,0.03152366324153991,0.9802551879470325,26,0.016370541667432025,0.9638846462796005,0.028048457828626923,7-9,shǐmìng,mission; long-term task to which one devotes oneself; a calling,Translation,真挚 | 祝福 | 感激 | 真诚 | 感恩 | 牵挂 | 深情 | 快乐 | 幸福 | 思念 | 情谊 | 亲爱,0.5
轨迹,0,164,0.26849449084552557,22,0.023776613240491296,0.03148043960725129,0.9967029529730649,22,0.0017007656965085539,0.9950021872765563,0.006413144976688123,7-9,guǐjì,locus; orbit; trajectory; track,Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,1.0
瑰宝,0,164,0.26795541849614674,1,0.026201212228846166,0.03455503801724059,0.999386797323028,21,0.0006047944280760586,0.998782002894952,0.0013302154150709124,7-9,guībǎo,gem; (fig.) rare and valuable item; gem; treasure,Translation,句子 | 课文 | 书 | 图画 | 抄写 | 课本 | 本子 | 插图 | 稿子 | 书籍 | 字典 | 词汇,1.0
景象,0,164,0.2664023075954101,1,0.0058447261979844845,0.007904234394653683,0.9770984535880821,34,0.022716725457171454,0.9543817281309107,0.028207490918223343,5,jǐngxiàng,scene; sight (to behold),Translation,春节 | 夜晚 | 除夕 | 清明节 | 过年 | 中秋节 | 圣诞节 | 佳节 | 假期 | 晚饭 | 元宵节 | 假日,0.75
机遇,0,164,0.26635546603554494,4,0.01391936981668479,0.018619638730925057,0.9524855154010622,4,0.04676146609681573,0.9057240493042464,0.049975412380799104,4,jīyù,opportunity; favorable circumstance; stroke of luck,Translation,方法 | 路子 | 好处 | 举措 | 思路 | 步骤 | 诀窍 | 主意 | 原则 | 窍门 | 计策 | 措施,0.5
姿态,0,164,0.265523160879792,37,0.006569555903298441,0.00886524237539817,0.9940998929476111,45,0.004192364746781212,0.98990752820083,0.010433471037146196,7-9,zītài,attitude; posture; stance,Translation,手臂 | 胳膊 | 嘴唇 | 手掌 | 脖子 | 肩膀 | 手指 | 身子 | 舌头 | 鼻子 | 脸颊 | 嘴巴,0.5
榜样,0,164,0.2652643542245206,44,0.009633597311042907,0.012941960459162984,0.6998099298021451,28,0.20913183463693436,0.4906780951652107,0.22124845152147074,7-9,bǎngyàng,example; model,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
蓝图,0,164,0.2646456053824903,4,0.03474939445414796,0.04512300153208911,0.9999079873959843,26,0.00003628074183266358,0.9998717066541516,0.0002780568157712104,7-9,lántú,blueprint,Translation,真挚 | 祝福 | 感激 | 真诚 | 感恩 | 牵挂 | 深情 | 快乐 | 幸福 | 思念 | 情谊 | 亲爱,1.0
脚步,0,164,0.26430546325034365,45,-0.0005202861068183129,-0.0007072039832142411,0.999226752725306,35,0.0004631888304819231,0.9987635638948241,0.0018866476010313306,5,jiǎobù,footstep; step,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.75
旗帜,0,164,0.2638326334924368,12,0.025821796665328134,0.033887354195179416,0.9982722329739058,4,0.0015807612012663894,0.9966914717726394,0.0034271554401354943,7-9,qízhì,ensign; flag,Translation,方法 | 路子 | 好处 | 举措 | 思路 | 步骤 | 诀窍 | 主意 | 原则 | 窍门 | 计策 | 措施,0.5
才华,0,164,0.26276193790085367,37,-0.033827608006443244,-0.04588423976663048,0.9071630772508834,28,0.058647968086009666,0.8485151091648737,0.09529176557677985,7-9,cáihuá,talent,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
本色,0,164,0.26259527117464854,37,0.011330833485614089,0.01513329145291499,0.9931899823721652,16,0.005302111190979189,0.9878878711811859,0.011728775309899386,7-9,běnsè,inherent qualities; natural qualities; distinctive character; true qualities; natural color,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
色彩,0,164,0.2621825958869379,1,-0.024824181910350962,-0.033645427407872505,0.9977634770692799,21,0.0019316008230526218,0.9958318762462273,0.004330146081971522,4,sècǎi,tint; coloring; coloration; (fig.) flavor; character,Translation,句子 | 课文 | 书 | 图画 | 抄写 | 课本 | 本子 | 插图 | 稿子 | 书籍 | 字典 | 词汇,0.5
身影,0,164,0.26149559126966093,45,0.01805135981927436,0.0238599196115845,0.9925996292520336,14,0.007015046285216312,0.9855845829668173,0.011666227941390115,7-9,shēnyǐng,silhouette; figure,Translation,小声 | 大声 | 招呼 | 嬉笑 | 点头 | 插嘴 | 扭头 | 交头接耳 | 自言自语 | 神情 | 听见 | 坐下,0.25
潜力,0,164,0.26024992927573487,4,0.022769418474983205,0.02986076919672482,0.9814863567012555,16,0.006967823684187937,0.9745185330170676,0.02920452279777266,6,qiánlì,potential; capacity,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
契机,0,164,0.2595219248941885,4,0.00536220740276,0.007189484838127283,0.8818186664666371,4,0.11787468771539882,0.7639439787512383,0.09351355452225357,7-9,qìjī,opportunity; turning point; juncture,Translation,方法 | 路子 | 好处 | 举措 | 思路 | 步骤 | 诀窍 | 主意 | 原则 | 窍门 | 计策 | 措施,0.5
潜能,0,164,0.2594290749698351,28,0.01874369335650425,0.024685015805871582,0.9865088642674299,28,0.011328029372164521,0.9751808348952654,0.020414434735612875,7-9,qiánnéng,potential; hidden capability,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
品质,0,164,0.25909977892899216,28,0.010897755062197811,0.014495589783640116,0.9905800738691748,30,0.005871372815365163,0.9847087010538096,0.0159932739233948,4,pǐnzhì,"character; intrinsic quality (of a person); quality (of a product or service, or as in ""quality of life"", ""air quality"" etc)",Translation,独特 | 有名 | 出名 | 驰名 | 出众 | 独一无二 | 昂贵 | 出色 | 顶级 | 耀眼 | 名贵 | 一流,0.0
风尚,0,164,0.2585256623644541,28,0.012669459308137732,0.01679979250573055,0.8978301970210266,28,0.047329196732706254,0.8505010002883203,0.11418267446305458,7-9,fēngshàng,current custom; current way of doing things,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.75
优势,0,164,0.2580373239255542,4,0.002204295208879936,0.002962097612419771,0.9953033223550671,35,0.0022154458249075116,0.9930878765301596,0.008901315482306766,3,yōushì,superiority; dominance; advantage,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.5
风度,0,164,0.2577313463348451,37,-0.09885590644499409,-0.13318076407627613,0.9503662970508904,28,0.045387274697914114,0.9049790223529762,0.0547091343327132,5,fēngdù,elegance (for men); elegant demeanor; grace; poise,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.25
脉搏,0,164,0.25764177899739915,45,0.011036494417204112,0.014649020216520077,0.993901805397252,28,0.004878767388254175,0.9890230380089978,0.010659266601502754,7-9,màibó,pulse (both medical and figurative),Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
模样,0,164,0.25763598292259393,37,-0.04083277567161814,-0.05500371075684898,0.9980531550010173,45,0.00127740201066653,0.9967757529903508,0.004139702699334899,5,múyàng,look; style; appearance; approximation; about; also pr. [mó yàng],Translation,手臂 | 胳膊 | 嘴唇 | 手掌 | 脖子 | 肩膀 | 手指 | 身子 | 舌头 | 鼻子 | 脸颊 | 嘴巴,0.0
潮流,0,164,0.25712299955284057,28,0.0350388562085627,0.045041961683613914,0.9646885028044557,16,0.0318573489009816,0.9328311539034742,0.04371067206811114,4,cháoliú,tide; current; trend,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
热潮,0,164,0.25705992815457845,22,0.039912540824201204,0.0509834676135199,0.9979179026947691,43,0.0013751217009899232,0.9965427809937791,0.004445933085162226,7-9,rècháo,upsurge; popular craze,Translation,崩溃 | 不堪 | 衰弱 | 悲惨 | 混乱 | 摇摇欲坠 | 萧条 | 紊乱 | 动荡 | 破裂 | 颓废 | 惨重,0.75
脊梁,0,164,0.2565867686838504,45,-0.01188155716119188,-0.01598243972622951,0.9941489499712926,44,0.005518064079964663,0.9886308858913279,0.009603331489455707,7-9,jǐliáng,backbone; spine; Taiwan pr. [jǐ liang]; (coll.) back (of a human or other vertebrate),Translation,努力 | 兢兢业业 | 拼搏 | 刻苦 | 坚持不懈 | 一心一意 | 奋勇 | 竭尽全力 | 艰苦奋斗 | 不懈 | 奋力 | 拼命,0.25
序幕,0,164,0.2565072043983725,22,0.02790244860759436,0.03617140346282267,0.9996152334903781,22,0.00017184961762831195,0.9994433838727498,0.0009956578905925275,7-9,xùmù,prologue,Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,0.75
个性,0,164,0.2564315486360695,37,-0.06281915423765788,-0.08448335068873405,0.9899196014575053,28,0.005921065617476826,0.9839985358400285,0.016457192592884237,3,gèxìng,individuality; personality,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.25
舞台,0,164,0.25462706626413095,13,-0.019305461463985096,-0.025900405810584667,0.9754369745330173,36,0.017559015719512072,0.9578779588135051,0.03452229873040771,3,wǔtái,(lit. and fig.) stage; arena,Translation,停车场 | 旅馆 | 居民楼 | 楼道 | 房间 | 车厢 | 地铁站 | 洗手间 | 饭馆 | 人行道 | 浴室 | 过道,0.75
特性,0,164,0.25401486548623936,4,0.008959446738328158,0.011867687987731032,0.995731154605141,35,0.0013585181226985193,0.9943726364824425,0.008772647641875153,5,tèxìng,property; characteristic,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.0
足迹,0,164,0.25389399049827177,49,0.00936752316330075,0.01239953851229662,0.997020291020084,26,0.0026774516180298495,0.9943428394020541,0.00550702199439208,7-9,zújì,footprint; track; spoor,Translation,真挚 | 祝福 | 感激 | 真诚 | 感恩 | 牵挂 | 深情 | 快乐 | 幸福 | 思念 | 情谊 | 亲爱,1.0
奥秘,0,164,0.25351736667915353,22,-0.0008250306549533737,-0.0011052241782011048,0.9987933629662408,22,0.0011519899623949072,0.9976413730038458,0.0024532165556959648,7-9,àomì,secret; mystery,Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,0.75
痕迹,0,164,0.25244623755791407,22,-0.011410446839673682,-0.015263714013555944,0.9774017850762656,43,0.011936729742631472,0.9654650553336341,0.03343457087801995,7-9,hénjì,vestige; mark; trace,Translation,崩溃 | 不堪 | 衰弱 | 悲惨 | 混乱 | 摇摇欲坠 | 萧条 | 紊乱 | 动荡 | 破裂 | 颓废 | 惨重,0.5
成就,0,164,0.2517209015189619,26,0.0006690052090678189,0.0008932597676281444,0.8998700899976799,16,0.09213702950700543,0.8077330604906745,0.09258574175348373,3,chéngjiù,accomplishment; success; achievement; to achieve (a result); to create; to bring about,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.75
特点,0,164,0.25170980613023397,4,-0.018712121809003446,-0.025006504110703605,0.818837848135108,4,0.1310933817594314,0.6877444663756765,0.155203868383941,2,tèdiǎn,characteristic (feature); trait; feature,Translation,方法 | 路子 | 好处 | 举措 | 思路 | 步骤 | 诀窍 | 主意 | 原则 | 窍门 | 计策 | 措施,0.25
动力,0,164,0.2512196897189026,4,0.03649397980204544,0.046472907954469636,0.9731233183246056,35,0.019812110184726863,0.9533112081398788,0.03780469981197207,3,dònglì,motive power; force; (fig.) motivation; impetus,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.5
感,0,164,0.2508885298065352,7,-0.025157755095774004,-0.03358346000132235,0.9964964298490693,28,0.0016359777265187035,0.9948604521225506,0.0074808048147492505,7-9,gǎn (zérèngǎn),to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
启示,0,164,0.2507942324739436,22,-0.009192812647292548,-0.012270077254808151,0.8948421358571118,22,0.09934239619574262,0.7954997396613692,0.09331028119029211,7-9,qǐshì,to reveal; to enlighten; enlightenment; revelation; illumination; moral (of a story etc); lesson,Translation,看法 | 疑虑 | 想法 | 事情 | 说法 | 道理 | 疑问 | 误解 | 争论 | 猜测 | 问题 | 结论,0.75
载体,0,164,0.25054889816113884,46,0.014249680049930658,0.018658721305336506,0.994743051964078,35,0.0038196366357266353,0.9909234153283514,0.009720094823667935,7-9,zàitǐ,carrier (chemistry); vector (epidemiology); vehicle or medium,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.75
灵感,0,164,0.2502993157568099,49,0.028362089329444923,0.03645218649803085,0.9878094776708,16,0.005651775106105847,0.9821577025646941,0.020045159756579774,7-9,línggǎn,inspiration; insight; a burst of creativity in scientific or artistic endeavor,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,1.0
亲和力,0,164,0.25010354191332707,37,-0.034714206682433635,-0.04629199979288524,0.9924274116690932,37,0.004987664792783397,0.9874397468763099,0.012808182984475518,7-9,qīnhélì,(personal) warmth; approachability; accessibility; (in a product) user friendliness; (chemistry) affinity,Translation,谦逊 | 和蔼 | 善良 | 温柔 | 乖巧 | 聪明 | 高傲 | 谦虚 | 文雅 | 豁达 | 体贴 | 礼貌,0.25
重任,0,164,0.24926193776943104,4,0.0070024734450196136,0.009241254908946384,0.9879230285612233,16,0.008062106602028251,0.979860921959195,0.019798224444441875,7-9,zhòngrèn,heavy responsibility,Translation,比赛 | 决赛 | 选手 | 夺冠 | 冠军 | 单打 | 半决赛 | 亚军 | 预赛 | 银牌 | 教练 | 双打,0.5
视野,0,164,0.2488692250390817,28,0.027058985515189704,0.03477170593793809,0.9630921553473544,35,0.035899146021288283,0.9271930093260661,0.04187121588407259,7-9,shìyě,field of view; (fig.) outlook; perspective,Translation,减弱 | 增大 | 下降 | 降低 | 加剧 | 萎缩 | 趋于 | 缓解 | 回升 | 改善 | 回落 | 收缩,0.75
容颜,0,164,0.24810927265182414,37,-0.02892258793571234,-0.03846647775231738,0.9140828382065097,28,0.0583302796000273,0.8557525586064824,0.09090130762360084,7-9,róngyán,mien; complexion,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.0
抱负,0,164,0.24786058392057733,28,-0.035218923064338686,-0.04682499322787751,0.6121243132903038,28,0.38053424819779985,0.23159006509250396,0.18170996612046217,7-9,bàofù,aspiration; ambition,Translation,品德 | 人格 | 道德 | 自尊 | 人性 | 信仰 | 信念 | 观念 | 思想 | 性格 | 天性 | 价值观,0.5
