token,community,size,mean_cosine_to_own_others,nearest_other_community,cosine_margin,cosine_silhouette,max_membership,second_community,second_membership,membership_margin,normalized_membership_entropy,hsk_levels,pinyin,dictionary_translation,dictionary_translation_source,second_component_representatives,repeat_cluster_match_fraction
扭头,1,52,0.48676143139752326,86,0.06448858148295517,0.11162463365867245,0.8983725454328153,86,0.05374650837933254,0.8446260370534827,0.08882866986381745,7-9,niǔtóu,to turn one's head; to turn around,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
瞅,1,52,0.42816147518084136,86,0.06351671379688201,0.09997039441311119,0.8047164984303855,194,0.09271784054901094,0.7119986578813746,0.16218967103011972,7-9,chǒu,(dialect) to look at; old variant of 瞅,Translation,捉 | 逮 | 杀 | 偷 | 追 | 摸 | 抢 | 捕 | 窜 | 抓 | 夺 | 盯,0.5
瞪,1,52,0.42727422963159994,86,0.04487441316280455,0.0726593261456458,0.7589191801339528,128,0.14310887979204098,0.6158103003419118,0.16443811013811482,7-9,dèng,to open (one's eyes) wide; to stare at; to glare at,Translation,胳膊 | 脖子 | 手臂 | 手掌 | 嘴唇 | 鼻子 | 肩膀 | 舌头 | 爪子 | 腿 | 手指 | 嘴巴,0.5
哼,1,52,0.42633938360120854,86,0.043824593484615204,0.07097270150468908,0.5632289998962416,179,0.11311833617136959,0.4501106637248721,0.3487426437890069,7-9,hēng,to groan; to snort; to hum; to croon; humph!,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.5
听见,1,52,0.41648552889627527,40,-0.021561079528098825,-0.03695037671870569,0.8613361100498732,86,0.058266608353847574,0.8030695016960256,0.12447161409293842,1,tīngjiàn,to hear,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.25
反问,1,52,0.4153512018472463,110,0.03763960596237592,0.060485790372227816,0.4523690509305912,110,0.2995934943516492,0.15277555657894198,0.28614678667994575,6,fǎnwèn,to ask (a question) in reply; to answer a question with a question; rhetorical question,Translation,反驳 | 批评 | 指责 | 质问 | 辩解 | 抨击 | 质疑 | 反思 | 解释 | 揣测 | 否认 | 承认,0.0
说道,1,52,0.4140259246367606,86,0.07288678352820638,0.11062545686936183,0.720053779046741,86,0.14063912546020235,0.5794146535865385,0.21382777780120765,7-9,shuōdao,to state; to say (the quoted words); to discuss; reason (behind sth),Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.25
问,1,52,0.4128236751049192,40,0.06574431337497794,0.10069265623027382,0.7370265917535941,40,0.054300472172660645,0.6827261195809334,0.23231690567091912,1,wèn,to ask; to inquire,Translation,看见 | 碰见 | 遇见 | 见到 | 碰到 | 看到 | 想起 | 想到 | 碰上 | 遇到 | 遇上 | 见过,0.0
瞧,1,52,0.4093502663319126,40,0.05802745912561025,0.08945506296544796,0.838705016778762,40,0.07532537882286718,0.7633796379558948,0.1439137227558754,5,qiáo,to look at; to see; to see (a doctor); to visit,Translation,看见 | 碰见 | 遇见 | 见到 | 碰到 | 看到 | 想起 | 想到 | 碰上 | 遇到 | 遇上 | 见过,0.5
示意,1,52,0.4085963256184821,86,0.07084648094307328,0.10697842857937734,0.9310224465516053,129,0.01837853115678956,0.9126439153948157,0.07928373068925405,7-9,shìyì,to hint; to indicate (an idea to sb),Translation,劝告 | 劝说 | 劝阻 | 催促 | 劝 | 吩咐 | 嘱咐 | 答应 | 告诫 | 叮嘱 | 听从 | 请求,0.75
愣,1,52,0.40827336129492975,86,-0.006036241628227024,-0.010201064534523383,0.3788072477830853,86,0.31501706941629287,0.0637901783667924,0.3473596549887988,7-9,lèng,to look distracted; to stare blankly; distracted; blank; (coll.) unexpectedly; rash; rashly,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.25
告辞,1,52,0.4081790008897503,86,0.05522080933494422,0.08534349498626187,0.9580083880041621,131,0.011897287431396083,0.946111100572766,0.050624554937876716,7-9,gàocí,to say goodbye; to take one's leave,Translation,赶往 | 前往 | 起程 | 赶赴 | 动身 | 奔赴 | 离开 | 赶到 | 来到 | 搭乘 | 返回 | 踏上,0.75
一眼,1,52,0.4071766895834069,86,0.044236004859722566,0.06943781183159659,0.6686723109907241,116,0.19616835513919045,0.47250395585153365,0.21102267830309823,7-9,yīyǎn,a glance; a quick look; a glimpse,Translation,走近 | 注视 | 打量 | 抚摸 | 目光 | 走进 | 望见 | 只见 | 走过 | 向着 | 拥抱 | 推开,0.75
喊,1,52,0.40438164540834404,86,0.08665453576467391,0.12700861633153399,0.9323138650723551,86,0.011943938676361869,0.9203699263959932,0.08420300455007136,2,hǎn,to yell; to shout; to call out for (a person),Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.75
站住,1,52,0.4032588685776024,86,0.03424195905891386,0.05426763343656987,0.6265078201233741,116,0.20338616662930525,0.4231216534940689,0.2421235202946204,2,zhànzhù,to stand,Translation,走近 | 注视 | 打量 | 抚摸 | 目光 | 走进 | 望见 | 只见 | 走过 | 向着 | 拥抱 | 推开,0.5
招手,1,52,0.40211359764380655,116,0.062419821066662995,0.09453162616444066,0.9063822534063501,116,0.0289269419410053,0.8774553114653448,0.10071852410668786,5,zhāoshǒu,to wave; to beckon,Translation,走近 | 注视 | 打量 | 抚摸 | 目光 | 走进 | 望见 | 只见 | 走过 | 向着 | 拥抱 | 推开,0.75
指着,1,52,0.39997574736316793,86,0.06686496491511135,0.10026397661753071,0.8064234558026949,116,0.0677157335234,0.7387077222792949,0.15810948565625815,6,zhǐzhe,Poke,Translation,走近 | 注视 | 打量 | 抚摸 | 目光 | 走进 | 望见 | 只见 | 走过 | 向着 | 拥抱 | 推开,0.5
说话,1,52,0.3978001138551751,86,0.01858030092201446,0.029930563682783774,0.7126208258080369,100,0.1473524164434138,0.5652684093646231,0.21430661511513396,1,shuōhuà,to speak; to say; to talk; to gossip; to tell stories; talk; word,Translation,撒谎 | 胡闹 | 吹牛 | 逞能 | 闹着玩儿 | 说闲话 | 骗人 | 出洋相 | 说谎 | 耍赖 | 谎话 | 出丑,0.0
回头,1,52,0.39702454844379964,165,0.02972404268052553,0.04697971620221371,0.6792755494724347,116,0.0858586178756856,0.5934169315967491,0.2624887878312945,5,huítóu,to turn round; to turn one's head; later; by and by,Translation,走近 | 注视 | 打量 | 抚摸 | 目光 | 走进 | 望见 | 只见 | 走过 | 向着 | 拥抱 | 推开,0.5
转身,1,52,0.39499576056230645,160,0.03619070747507769,0.05644259620155913,0.812297379898485,160,0.051112432776620406,0.7611849471218647,0.1640067478434512,4,zhuǎnshēn,(of a person) to turn round; to face about; (of a widow) to remarry (archaic),Translation,忽然 | 急忙 | 连忙 | 赶忙 | 立刻 | 猛然 | 慌忙 | 顿时 | 突然 | 赶紧 | 不由得 | 随即,0.5
伸手,1,52,0.39169678867924046,128,0.026023480173719526,0.041025358892604585,0.4909656522113239,128,0.20010674527058991,0.29085890694073396,0.32785792057334545,7-9,shēnshǒu,to reach out with one's hand; to hold out a hand; (fig.) to beg; to get involved; to meddle,Translation,胳膊 | 脖子 | 手臂 | 手掌 | 嘴唇 | 鼻子 | 肩膀 | 舌头 | 爪子 | 腿 | 手指 | 嘴巴,0.5
递给,1,52,0.3910949699162639,80,0.07163818161361263,0.10526617616967947,0.9321081680497874,80,0.009312144924939243,0.9227960231248481,0.08394647875233197,5,dì gěi,to hand it (i.e. the aforementioned item) to (sb),Translation,捎 | 拎 | 抱 | 搀 | 牵 | 揣 | 扶 | 挎 | 挽 | 抬 | 搭 | 递,0.25
打招呼,1,52,0.3860192898921905,94,0.04599928820033927,0.06969800345201055,0.8991568829455601,94,0.019927950141242812,0.8792289328043172,0.1111804956625034,7-9,dǎ zhāohu,to greet sb by word or action; to give prior notice,Translation,聊天儿 | 玩耍 | 打盹儿 | 溜达 | 散步 | 嬉笑 | 打牌 | 跳舞 | 晒太阳 | 侃大山 | 吃饭 | 玩儿,0.5
请坐,1,52,0.3859644441781432,87,0.04256014313548678,0.06481940591915406,0.6529035394953296,87,0.09199648648875607,0.5609070530065736,0.29524640193252844,1,qǐng zuò,"please, have a seat",Translation,祝福 | 谢谢 | 感谢 | 祝 | 祝愿 | 恭喜 | 一路平安 | 亲爱 | 保佑 | 感恩 | 保重 | 晚安,0.5
会意,1,52,0.38419896320044256,86,0.0549216917888079,0.08188434571823544,0.8722814378656604,86,0.06393322226420133,0.8083482156014591,0.11589650264409199,7-9,huìyì,"combined ideogram (one of the Six Methods 六书 of forming Chinese characters); Chinese character that combines the meanings of existing elements; also known as joint ideogram or associative compound; to comprehend without being told explicitly; to cotton on; knowing (smile, glance etc)",Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
听,1,52,0.38340616523387927,9,0.03574645398743581,0.054797250152581384,0.8637867936454995,86,0.02157643187587091,0.8422103617696286,0.15404398460415666,1,tīng,"smile (archaic); to listen to; to hear; to heed; to obey; a can (loanword from English ""tin""); classifier for canned beverages; to let be; to allow (Taiwan pr. [tìng]); (literary) to administer; to deal with (Taiwan pr. [tìng])",Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
停下,1,52,0.37652984276443674,185,0.015697761188078807,0.02455968257417192,0.5373715742309788,91,0.12176316080265515,0.41560841342832366,0.3124459654721159,4,tíngxia,to stop,Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,0.5
开口,1,52,0.3735931715470528,86,0.07008586433852187,0.10062684801131969,0.7992669825890665,86,0.048369495562068515,0.750897487026998,0.21558712959617302,7-9,kāikǒu,to open one's mouth; to start to talk,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.75
脱口而出,1,52,0.3687029805983258,198,0.04906663468007799,0.07211824791890199,0.6878998982653941,9,0.07880837746113617,0.609091520804258,0.25485393670978723,7-9,tuōkǒu'érchū,to blurt out; to let slip (an indiscreet remark),Translation,好听 | 风趣 | 动听 | 悦耳 | 难听 | 抑扬顿挫 | 幽默 | 欢快 | 有趣 | 绘声绘色 | 流利 | 清脆,0.5
叫,1,52,0.36581300271944767,50,0.05166384580417477,0.07532810716074674,0.4854163093917299,179,0.26095345709662143,0.22446285229510848,0.3400399812576777,1; 3,jiào,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); variant of 叫,Translation,就算 | 也许 | 毕竟 | 不然 | 当然 | 难道 | 要不然 | 可是 | 其实 | 反正 | 何况 | 要是,0.25
过头,1,52,0.3648080667543161,86,0.017489398903314468,0.026796229709419472,0.43583583054379055,86,0.1287741939055898,0.30706163663820074,0.4463993676505538,7-9,guòtóu,to overdo it; to overstep the limit; excessively; above one's head; overhead,Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.5
敲门,1,52,0.364142133192148,86,0.03633673879607141,0.054056873549922564,0.6091563811057392,81,0.07042786940136701,0.5387285117043722,0.34712448992420575,5,qiāo mén,to knock on a door,Translation,帮忙 | 安慰 | 救 | 恳求 | 照顾 | 拯救 | 哀求 | 求助 | 解救 | 挽救 | 求救 | 帮助,0.25
吼,1,52,0.3636623257354901,86,0.021130133627384806,0.032138658917972705,0.6354199903885888,128,0.08629080926974597,0.5491291811188428,0.2776945113961787,7-9,hǒu,to roar; to howl; to shriek; roar or howl of an animal; bellow of rage,Translation,胳膊 | 脖子 | 手臂 | 手掌 | 嘴唇 | 鼻子 | 肩膀 | 舌头 | 爪子 | 腿 | 手指 | 嘴巴,0.5
听到,1,52,0.3629057896165471,40,-0.07389375009372862,-0.1159855934795792,0.7486324121013742,40,0.1795488823774129,0.5690835297239614,0.17364769320953302,1,tīngdào,to hear,Translation,看见 | 碰见 | 遇见 | 见到 | 碰到 | 看到 | 想起 | 想到 | 碰上 | 遇到 | 遇上 | 见过,0.25
打断,1,52,0.36067265214345784,164,0.060824978080190995,0.08687392132678165,0.8102664013409131,164,0.08443872859883024,0.7258276727420828,0.1844362236764009,6,dǎduàn,to interrupt; to break off; to break (a bone),Translation,嘲笑 | 讥笑 | 瞧不起 | 责怪 | 取笑 | 责备 | 嫉妒 | 耻笑 | 嫌弃 | 鄙视 | 妒忌 | 埋怨,0.5
举手,1,52,0.3599696036210717,86,0.04682947368322715,0.06817907949548647,0.847352846629059,86,0.021040524557560177,0.8263123220714987,0.18161789234222614,2,jǔshǒu,to raise a hand; to put up one's hand (as signal),Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.75
吓,1,52,0.3559300109792866,29,-0.023320122297214585,-0.036207435053249484,0.3860778754022487,29,0.1050013328446819,0.2810765425575668,0.41858325326992984,5,xià,to scare; to intimidate; to threaten; (interjection showing disapproval) tut-tut; (interjection showing astonishment); to frighten; to scare,Translation,疼 | 难受 | 痒 | 肿 | 馋 | 烦 | 慌 | 恶心 | 痛 | 渴 | 闷 | 憋,0.5
当着,1,52,0.3541868394218675,164,0.030254225145101066,0.044750310078537636,0.7561334826049312,164,0.03323653459253863,0.7228969480123926,0.2483125877269498,7-9,dāngzhe,in front of; in the presence of,Translation,嘲笑 | 讥笑 | 瞧不起 | 责怪 | 取笑 | 责备 | 嫉妒 | 耻笑 | 嫌弃 | 鄙视 | 妒忌 | 埋怨,0.75
七嘴八舌,1,52,0.35395288130123476,86,0.023436693054569135,0.035007109422392026,0.6222061248572023,94,0.10259565186559923,0.519610472991603,0.30119116529157663,7-9,qīzuǐ-bāshé,lively discussion with everybody talking at once,Translation,聊天儿 | 玩耍 | 打盹儿 | 溜达 | 散步 | 嬉笑 | 打牌 | 跳舞 | 晒太阳 | 侃大山 | 吃饭 | 玩儿,0.25
异口同声,1,52,0.3506645432206093,167,0.0327353113121816,0.04799401006991495,0.6238419063303673,160,0.10209127331980532,0.521750633010562,0.27243323848902534,7-9,yìkǒu-tóngshēng,"different mouths, same voice; to speak in unison (idiom)",Translation,忽然 | 急忙 | 连忙 | 赶忙 | 立刻 | 猛然 | 慌忙 | 顿时 | 突然 | 赶紧 | 不由得 | 随即,0.25
道,1,52,0.3483461043064867,86,0.06361471302277544,0.08893821460576387,0.48402601128204853,86,0.10672213676367956,0.377303874518369,0.4849501110249663,2,dào,"road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; (old) circuit (administrative division)",Translation,哆嗦 | 发愣 | 一动不动 | 叹气 | 发抖 | 一声不吭 | 颤抖 | 哭泣 | 一言不发 | 呜咽 | 哭 | 咧嘴,0.25
放下,1,52,0.33372227572699514,86,0.02673626818163405,0.038579694598856185,0.24871369635130797,91,0.2384308646169712,0.010282831734336778,0.48948346593250647,2,fàngxia,to lay down; to put down; to let go of; to relinquish; to set aside; to lower (the blinds etc),Translation,退回 | 收回 | 丢掉 | 拿走 | 掉 | 丢 | 销毁 | 作废 | 关闭 | 归还 | 撤 | 没收,0.25
收据,2,89,0.3622741959693458,161,0.10055933878528628,0.13620664016309003,0.9717290461266423,56,0.008520850664441504,0.9632081954622008,0.037280098207277686,7-9,shōujù,receipt,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.75
证件,2,89,0.3620706687510781,16,0.07708587106409265,0.10781011482654666,0.9479221090042466,79,0.014135631270662046,0.9337864777335845,0.06515416485097768,3,zhèngjiàn,certificate; papers; credentials; document; ID,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
挂失,2,89,0.3592710013830109,56,0.0905858636995629,0.12386711711644734,0.818126753446609,56,0.05441425461932302,0.763712498827286,0.1777560966086003,7-9,guàshī,to report the loss of something,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,1.0
身份证,2,89,0.35830782239842024,16,0.1035375839348116,0.13893377489561734,0.9051927615464723,56,0.014837665918648114,0.8903550956278242,0.11242922103989926,3,shēnfènzhèng,identity card; ID,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,1.0
发票,2,89,0.3579026394525822,161,0.05764008628176709,0.08237387686332827,0.8407445604149011,79,0.02824583782733878,0.8124987225875623,0.17115822849420656,4,fāpiào,invoice; receipt or bill for purchase,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
支票,2,89,0.35638042213616344,157,0.10452245609616712,0.13970937516091367,0.9287140832963187,56,0.013275645396172294,0.9154384379001463,0.08576605348910586,7-9,zhīpiào,check (bank); cheque,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.75
存折,2,89,0.35449457063828305,157,0.08743440386000767,0.11929274395645724,0.918026669989172,157,0.026484566566247352,0.8915421034229247,0.09218947303151626,7-9,cúnzhé,passbook; bankbook,Translation,袜子 | 衣服 | 裤子 | 毛衣 | 衬衣 | 裙子 | 大衣 | 围巾 | 拖鞋 | 鞋 | 外套 | 衬衫,0.75
银行卡,2,89,0.35231256251392673,161,0.1058877482550252,0.1405138468710201,0.817225622436465,79,0.03371270759582018,0.7835129148406448,0.19117968818904849,2,yínhángkǎ,bank card; ATM card,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,0.75
凭证,2,89,0.35097138441351106,71,0.08806783430244847,0.11947939013370389,0.8218350260345527,37,0.03974613133037442,0.7820888947041783,0.19245070176310433,7-9,píngzhèng,proof; certificate; receipt; voucher,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
汇款,2,89,0.3441202846529801,56,0.06513851299056311,0.09034239417323718,0.8296385825952042,6,0.03911483602603961,0.7905237465691646,0.15996397726598904,5,huìkuǎn,to remit money; remittance,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,1.0
账单,2,89,0.34262426393393736,37,0.07682383903565076,0.10463618018984541,0.8317682860837854,37,0.03750805967167459,0.7942602264121108,0.17516153629261502,7-9,zhàngdān,bill,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
付款,2,89,0.3365683550570119,6,-0.003156076614299397,-0.004757199386487833,0.5305618734706868,6,0.21737672285385015,0.3131851506168367,0.3171870149141047,7-9,fùkuǎn,to pay a sum of money; payment,Translation,预订 | 订购 | 预售 | 特价 | 促销 | 打折 | 优惠 | 购买 | 折扣 | 预约 | 预定 | 降价,1.0
护照,2,89,0.3312735427013219,11,0.07374885395693997,0.09932835858504371,0.8640818716961056,79,0.0534743226816637,0.8106075490144419,0.13875578943695072,2,hùzhào,passport,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
欠条,2,89,0.32241052504461776,158,0.03577210672111114,0.05014582736154916,0.9682045827726372,37,0.007753535596015908,0.9604510471766213,0.042149116091194025,7-9,qiàntiáo,IOU; certificate of indebtedness,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
借条,2,89,0.321676329765883,43,0.05416855055112041,0.0739510250266566,0.9518338163164818,56,0.013098888043979386,0.9387349282725024,0.06291600990492427,7-9,jiètiáo,receipt for a loan; IOU,Translation,打电话 | 电话 | 回信 | 答复 | 信件 | 电子邮件 | 来信 | 邮件 | 短信 | 转告 | 拨打 | 留言,0.75
登记,2,89,0.3174169137809978,16,-0.007607104839508438,-0.011144584436813527,0.32828680945197725,16,0.19049105806149905,0.1377957513904782,0.48965664730757763,4,dēngjì,to register (one's name),Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,1.0
信用卡,2,89,0.31739743547926885,161,0.07688236992433278,0.10122961817604545,0.5261990853327123,79,0.08557366842268424,0.4406254169100281,0.42398296673151975,2,xìnyòngkǎ,credit card,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
取款,2,89,0.3150565619839654,143,0.06666976328227633,0.08870222498369267,0.3512032743514438,79,0.2731344856734769,0.07806878867796685,0.45193640251064465,6,qǔkuǎn,to withdraw money from a bank,Translation,车辆 | 客运 | 火车 | 货车 | 列车 | 货运 | 出租车 | 公交车 | 公共汽车 | 大巴 | 客车 | 私家车,1.0
交费,2,89,0.31502665665192126,6,0.03506089069116752,0.048693366278549116,0.45527374531663406,37,0.1468662792538066,0.30840746606282743,0.36882524817742934,3,jiāofèi,to pay a fee,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,0.75
卡片,2,89,0.3136339896021987,11,-0.001065872093857112,-0.0015529208581283884,0.2936906307759102,118,0.2638407499925464,0.029849880783363758,0.387512287044705,7-9,kǎpiàn,card,Translation,句子 | 课文 | 词汇 | 语法 | 文字 | 生词 | 字典 | 题目 | 课本 | 作文 | 英文 | 词典,0.25
账户,2,89,0.31094271904285536,37,0.04488842279336408,0.06116041358915429,0.44601157829781496,37,0.09911955810352206,0.3468920201942929,0.4943927187648662,6,zhànghù,bank account; online account,Translation,利息 | 税收 | 收入 | 数额 | 租金 | 收益 | 手续费 | 工资 | 利润 | 贷款 | 金额 | 报酬,1.0
手续,2,89,0.3101795319728283,16,0.01708539266153597,0.024169261582992697,0.40513668532924707,16,0.22239438899012468,0.1827422963391224,0.38919274873347126,3,shǒuxù,procedure; formalities,Translation,评审 | 审核 | 审查 | 面试 | 公示 | 选拔 | 报名 | 评选 | 招聘 | 答辩 | 申报 | 审批,0.5
