partition,anchor,community,size,duplicate_of_anchor,centers,fixed_sample,boundary,members
seeded baseline,牛奶,69,164,,米饭 豆腐 香肠 卤味 豆浆 饺子 薯条 酸奶,蘸 茶叶 饮料 豆浆 橙汁 炖 咖啡 馒头,味道 啤酒 香味 年夜饭 晚餐 桂花,三明治 中餐 主食 佐料 冰棍儿 勺 包子 午餐 南瓜 卤味 口味 口感 可乐 可口 吃 味精 味道 咖啡 咸 品尝 啤酒 喝 嚼 土豆 大米 奶 奶茶 好吃 嫩 寿司 小吃 巧克力 年夜饭 开水 快餐 拌 料理 方便面 早餐 早饭 晚餐 月饼 果汁 果酱 枣 柿子 核桃 桂花 梨 椰子 橙汁 水果 汁 汤 汤圆 汽水 海鲜 涮 火腿 火锅 炖 点心 烤 烤肉 烤鸭 烧烤 热腾腾 烹调 煎 煮 煲 熟 牛奶 瓜 甜 电饭锅 番茄 白菜 盒饭 砂糖 碗 米饭 粥 粽子 糊 糖 糖果 素食 红茶 红薯 红酒 绿茶 罐头 美味 美食 肉 脆 腥 芝士 芝麻 花生 茄子 茶 茶叶 莲子 菜 萝卜 葡萄 葱 蒜 蒸 蔬菜 薯条 薯片 蘑菇 蘸 虾 蛋 蛋糕 蜂蜜 西瓜 西红柿 西餐 调料 豆制品 豆子 豆浆 豆腐 辣 辣椒 酥 酱 酱油 酸奶 醋 锅 零食 面包 面条儿 面粉 风味 食品 食物 食用 餐 饭 饮料 饺子 饼 饼干 馅儿 馋 馒头 香 香味 香料 香油 香肠 香蕉 鲜美 鸡 鸡蛋 麻辣 黄瓜
seeded baseline,咖啡,69,164,牛奶,米饭 豆腐 香肠 卤味 豆浆 饺子 薯条 酸奶,饭 调料 味精 桂花 热腾腾 火锅 茄子 绿茶,味道 啤酒 香味 年夜饭 晚餐 桂花,三明治 中餐 主食 佐料 冰棍儿 勺 包子 午餐 南瓜 卤味 口味 口感 可乐 可口 吃 味精 味道 咖啡 咸 品尝 啤酒 喝 嚼 土豆 大米 奶 奶茶 好吃 嫩 寿司 小吃 巧克力 年夜饭 开水 快餐 拌 料理 方便面 早餐 早饭 晚餐 月饼 果汁 果酱 枣 柿子 核桃 桂花 梨 椰子 橙汁 水果 汁 汤 汤圆 汽水 海鲜 涮 火腿 火锅 炖 点心 烤 烤肉 烤鸭 烧烤 热腾腾 烹调 煎 煮 煲 熟 牛奶 瓜 甜 电饭锅 番茄 白菜 盒饭 砂糖 碗 米饭 粥 粽子 糊 糖 糖果 素食 红茶 红薯 红酒 绿茶 罐头 美味 美食 肉 脆 腥 芝士 芝麻 花生 茄子 茶 茶叶 莲子 菜 萝卜 葡萄 葱 蒜 蒸 蔬菜 薯条 薯片 蘑菇 蘸 虾 蛋 蛋糕 蜂蜜 西瓜 西红柿 西餐 调料 豆制品 豆子 豆浆 豆腐 辣 辣椒 酥 酱 酱油 酸奶 醋 锅 零食 面包 面条儿 面粉 风味 食品 食物 食用 餐 饭 饮料 饺子 饼 饼干 馅儿 馋 馒头 香 香味 香料 香油 香肠 香蕉 鲜美 鸡 鸡蛋 麻辣 黄瓜
seeded baseline,衬衫,101,71,,衬衣 衬衫 毛衣 大衣 裙子 上衣 外套 衣服,地毯 上衣 窗帘 雨衣 毛巾 书包 打扮 穿,铅笔 纱 时装 丝绸 首饰 打扮,上衣 丝绸 书包 保暖 兜儿 内衣 凉鞋 制服 发型 口罩 围巾 地毯 外套 外衣 大衣 婚纱 尼龙 帽子 戒指 戴 手套 手帕 手表 打扮 拉锁 拖鞋 旗袍 时装 服装 服饰 款式 毛巾 毛衣 牙刷 牛仔裤 球鞋 皮包 皮带 皮鞋 眼镜 睡袋 短裤 礼服 穿 穿着 窗帘 纱 纽扣 绷带 羽绒服 背包 背心 蚊帐 衣服 衬衣 衬衫 袜子 装扮 裙子 裤子 西装 辫子 透气 铅笔 雨衣 靴子 鞋 项链 领带 首饰 高跟鞋
seeded baseline,足球,197,49,,乒乓球 田径 体操 网球 羽毛球 举重 排球 篮球,跳远 太极拳 赛场 奥运会 联赛 武术 帆船 球拍,太极拳 球队 帆船 武术 联赛 登山,世界杯 举重 乒乓球 亚运会 体操 健美 健身 冲浪 划船 单打 双打 台球 太极拳 奥运会 射击 帆船 打球 排球 摔跤 教练 棒球 武术 比赛 游泳 滑冰 滑雪 球员 球拍 球队 田径 登山 竞技 篮球 网球 羽毛球 联赛 赛场 赛车 足球 跳远 跳高 运动 运动会 运动员 选手 长跑 预赛 高尔夫球 龙舟
seeded baseline,老师,26,139,,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶,胖子 宝宝 女儿 太太 班长 家里 全家 岳母,老王 别人 她们 亲属 女生 朋友,一家人 丈夫 两口子 丫头 主人 乖 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 人家 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 女人 女儿 女婿 女孩儿 女朋友 女生 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家伙 家里 家长 寡妇 小伙子 小偷儿 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 朋友 母亲 母女 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 班长 男人 男孩儿 男朋友 男生 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
seeded baseline,焦虑,129,167,,沮丧 羞愧 气愤 诧异 惊讶 惋惜 难过 吃惊,凄凉 心疼 失望 钦佩 害臊 振奋 惭愧 妒忌,反感 赞叹 过意不去 不已 遗憾 头疼,不以为然 不安 不屑 不已 不服气 不满 不耐烦 不解 丢脸 为难 介意 伤心 伤感 佩服 依依不舍 兴奋 冤枉 冷笑 凄凉 别扭 半信半疑 压抑 厌烦 反感 发怒 发抖 叹气 吃惊 同情 后悔 呜咽 哭 哭泣 哭笑不得 喜悦 困惑 垂头丧气 埋怨 大吃一惊 大惊小怪 失望 失落 头疼 奇怪 好奇 好笑 妒忌 委屈 嫉妒 嫌弃 孤单 孤独 害怕 害羞 害臊 寂寞 尴尬 庆幸 得意 心慌 心疼 心酸 忧愁 忧虑 忧郁 怀疑 怜惜 怨恨 怨气 恋恋不舍 恍然大悟 恐惧 恐慌 恨 恼羞成怒 悔恨 悲伤 悲哀 悲痛 惊叹 惊奇 惊慌 惊慌失措 惊讶 惊诧 惋惜 惭愧 愁眉苦脸 感到 感动 感叹 感慨 感激 愤怒 慌 慌乱 慌张 扫兴 抱歉 担心 担忧 挂念 振奋 敬佩 无可奈何 无奈 欣喜 欣慰 歉意 气愤 气馁 沮丧 泄气 流泪 消沉 漠然 激动 灰心 烦躁 烦闷 焦急 焦虑 焦躁 犹豫 狼狈 生气 畏惧 畏缩 留恋 疑惑 疲倦 疲惫 痛心 痛苦 目瞪口呆 着急 窘迫 纳闷儿 绝望 羞愧 羡慕 胆怯 自卑 自豪 自责 苦恼 苦笑 茫然 讨厌 诧异 责备 责怪 赞叹 轻蔑 过意不去 迟疑 迷惑不解 遗憾 钦佩 难为情 难受 难堪 难过 震惊 面红耳赤 骄傲 高兴
seeded baseline,政策,477,9,,制度 体制 机制 体系 健全 流程 政策 改革,流程 体系 健全 程序 政策 体制 改革 机制,改革 政策 健全 流程 程序 体系,体制 体系 健全 制度 改革 政策 机制 流程 程序
seeded baseline,合同,761,16,,协议 签订 签署 协议书 订立 协定 合同 达成,达成 协议 约定 谅解 生效 契约 签署 签,达成 签字 生效 条约 约定 谅解,协定 协议 协议书 合同 契约 条约 生效 签 签字 签约 签署 签订 约定 订立 谅解 达成
seeded baseline,银行,16,30,,存折 银行卡 支票 挂失 汇款 信用卡 身份证 取款,印章 支票 磁卡 汇款 存折 收据 卡 活期,证件 钱包 银行 储蓄 钞票 活期,一卡通 信用卡 借条 储蓄 凭证 卡 卡片 印章 发票 取款 取款机 外币 存折 存款 护照 挂失 支票 收据 欠条 汇款 活期 磁卡 证件 账单 账户 身份证 钞票 钱包 银行 银行卡
seeded baseline,软件,117,12,,硬盘 磁盘 浏览器 光盘 服务器 内存 杀毒 光碟,内存 服务器 硬盘 光碟 下载 杀毒 软件 光盘,下载 软件 防火墙 格式 浏览器 杀毒,下载 光盘 光碟 内存 服务器 杀毒 格式 浏览器 硬盘 磁盘 软件 防火墙
seeded baseline,感冒,167,68,,急性 病症 炎症 腹泻 症状 疾病 慢性 癌症,损伤 服用 疼痛 咳嗽 病情 患有 肿瘤 霍乱,疗效 抗生素 职业病 不适 昏迷 衰竭,不适 中毒 休克 传染 传染病 免疫 出血 创伤 副作用 发作 发炎 发烧 发热 发病 后遗症 呕吐 咳嗽 复发 失明 失眠 头晕 心脏病 急性 患 患有 患病 感冒 感染 慢性 抑郁 抑郁症 抗生素 损伤 昏迷 晕车 服用 治愈 治疗 流感 炎症 生病 疗效 疼痛 疾病 病 病情 病症 症状 痴呆 癌 癌症 确诊 精神病 糖尿病 职业病 肥胖 肿瘤 腹泻 艾滋病 血压 血栓 衰竭 衰老 过敏 近视 霍乱 骨折 高血压
seeded baseline,火车,103,40,,列车 火车 车票 卧铺 慢车 车站 乘客 公共汽车,线路 地铁 退票 车票 火车 公共汽车 搭乘 航班,线路 登机 座位 长途 行李 高铁,上车 下车 乘坐 乘客 乘车 公共汽车 列车 卧铺 售票 地铁 地铁站 坐 大巴 客运 巴士 座位 快车 慢车 搭乘 旅客 晚点 机场 火车 特快 电车 登机 票价 站台 线路 缆车 航班 行李 趟 车厢 车票 车站 退票 铁路 长途 高铁
seeded baseline,妈妈,26,139,老师,姑姑 舅舅 姐姐 妹妹 爸爸 嫂子 哥哥 奶奶,父女 她 老婆 家里 哥哥 姐妹 老乡 姑娘,老王 别人 她们 亲属 女生 朋友,一家人 丈夫 两口子 丫头 主人 乖 乡下 乡亲 亲人 亲友 亲属 亲戚 亲朋好友 亲生 人家 仇人 他 伯伯 伯母 伯父 你 保姆 俩 儿女 儿子 全家 别人 叔叔 同事 同伴 同学 哥 哥哥 外公 外婆 大人 大哥 大妈 大姐 大爷 太太 夫人 女人 女儿 女婿 女孩儿 女朋友 女生 奶奶 她 她们 妈 妈妈 妹 妹妹 妻子 姐 姐妹 姐姐 姑姑 姑娘 姥姥 姥爷 姨 娘 娶 媳妇 嫂子 子女 孙女 孙子 孩子 宝宝 家人 家伙 家里 家长 寡妇 小伙子 小偷儿 小姐 小孩儿 小时候 小朋友 岳母 岳父 帅哥 师傅 师父 弟 弟弟 徒弟 恩人 情人 我 战友 新娘 朋友 母亲 母女 爱人 父亲 父女 父子 父母 爷爷 爸 爸爸 爹 班长 男人 男孩儿 男朋友 男生 祖母 祖父 继母 继父 老乡 老人 老人家 老伴儿 老公 老大 老太太 老头儿 老婆 老家 老师 老板 老汉 老王 胖子 舅舅 贪玩儿 邻居 长辈 闺女 阿姨
seeded baseline,为什么,160,27,,怎么 怎样 什么 究竟 呢 哪里 哪儿 谁,请问 什么样 哪里 怎么 有没有 何处 谁 怎样,不知 请问 什么样 有没有 吗 呢,不知 为什么 为何 什么 什么样 何处 何时 到底 吗 呢 哪 哪些 哪儿 哪里 多久 多少 如何 干什么 怎么 怎么办 怎么样 怎样 是否 有没有 究竟 请问 谁
seeded baseline,公斤,364,19,,公斤 千克 斤 立方米 公顷 平方米 亩 米,桶 尺 公斤 千克 毫升 吨 立方 毫米,尺 厘米 毫米 克 平方 毫升,亩 克 公斤 公里 公顷 千克 厘米 吨 尺 平方 平方米 斤 桶 毫升 毫米 磅 立方 立方米 米
seeded baseline,花,1178,9,,菊花 桃花 牡丹 玫瑰 梅花 花 百合 鲜花,桃花 梅花 花 玫瑰 菊花 芦花 鲜花 百合,花 芦花 鲜花 百合 玫瑰 桃花,桃花 梅花 牡丹 玫瑰 百合 芦花 花 菊花 鲜花
seeded baseline,行,1287,1,,行,行,行,行
cosine k=10 q=0.1,苹果,698,33,,红薯 西红柿 西瓜 南瓜 茄子 黄瓜 柿子 香蕉,苹果 香蕉 白菜 核桃 葡萄 黄瓜 梨 椰子,菜 百合 鸡蛋 蔬菜 瓜子 芝麻,南瓜 土豆 枣 柿子 核桃 桃 梨 椰子 橘子 水果 瓜 瓜子 番茄 白菜 百合 红薯 芝麻 花生 苹果 茄子 莲子 菜 萝卜 葡萄 蔬菜 蘑菇 西瓜 西红柿 豆子 辣椒 香蕉 鸡蛋 黄瓜
cosine k=10 q=0.1,牛奶,301,31,,果汁 牛奶 饮料 红酒 酸奶 红茶 啤酒 橙汁,矿泉水 乳制品 茶叶 饮料 豆浆 橙汁 咖啡 果酱,果酱 豆浆 酒鬼 纯净水 蜂蜜 茶叶,乳制品 可乐 咖啡 啤酒 奶 奶粉 奶茶 果汁 果酱 橙汁 汽水 牛奶 白酒 矿泉水 红茶 红酒 纯净水 绿茶 茅台 茶 茶叶 葡萄酒 蜂蜜 豆浆 酒 酒水 酒精 酒鬼 酸奶 酿造 饮料
cosine k=10 q=0.1,咖啡,301,31,牛奶,果汁 牛奶 饮料 红酒 酸奶 红茶 啤酒 橙汁,绿茶 葡萄酒 饮料 豆浆 纯净水 牛奶 酿造 果汁,果酱 豆浆 酒鬼 纯净水 蜂蜜 茶叶,乳制品 可乐 咖啡 啤酒 奶 奶粉 奶茶 果汁 果酱 橙汁 汽水 牛奶 白酒 矿泉水 红茶 红酒 纯净水 绿茶 茅台 茶 茶叶 葡萄酒 蜂蜜 豆浆 酒 酒水 酒精 酒鬼 酸奶 酿造 饮料
cosine k=10 q=0.1,衬衫,55,46,,衬衣 衬衫 上衣 毛衣 外套 短裤 裙子 大衣,上衣 雨衣 穿 裤子 高跟鞋 款式 外套 衣服,皮带 口罩 拉锁 服 戴 服饰,一身 上衣 内衣 凉鞋 制服 口罩 围巾 外套 外衣 大衣 婚纱 帽子 戴 手套 拉锁 拖鞋 旗袍 服 服装 服饰 款式 毛衣 牛仔裤 球鞋 皮带 皮鞋 眼镜 短裤 礼服 穿 穿着 纽扣 羽绒服 背心 衣服 衬衣 衬衫 袜子 裙子 裤子 西装 雨衣 靴子 鞋 领带 高跟鞋
cosine k=10 q=0.1,足球,270,29,,乒乓球 田径 网球 体操 篮球 羽毛球 排球 举重,跳远 武术 球拍 选手 棒球 田径 羽毛球 双打,球拍 体育 选手 啦啦队 单打 双打,举重 乒乓球 体操 体育 单打 双打 台球 啦啦队 打球 排球 摔跤 棒球 武术 游泳 滑冰 球拍 田径 竞技 篮球 网球 羽毛球 足球 跳远 跳高 运动 运动会 运动员 选手 高尔夫球
cosine k=10 q=0.1,老师,531,11,,师傅 师父 徒弟 弟子 大师 老师 前辈 泰斗,大师 弟子 木匠 前辈 老师 老板 徒弟 泰斗,老板 老师 木匠 师父 泰斗 元老,元老 前辈 大师 师傅 师父 弟子 徒弟 木匠 泰斗 老师 老板
